Input Number, Run_Number, Result@ 100, Y, X, V, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-13, Run: 046, F, 0, 0, 1, 98, 1, 38, 2, 1, 39
INVAR-13, Run: 047, F, 3, 0, 0, 113, 1, 42, 2, 8, 37
INVAR-13, Run: 048, F, 1, 0, 0, 117, 1, 44, 2, 6, 41
INVAR-13, Run: 049, F, 2, 0, 0, 109, 1, 41, 2, 2, 42
INVAR-13, Run: 050, F, 2, 0, 0, 88, 1, 34, 2, 8, 29
INVAR-13, Run: 051, F, 1, 0, 1, 114, 1, 43, 2, 2, 43
INVAR-13, Run: 052, F, 2, 0, 0, 100, 1, 38, 2, 8, 33
INVAR-13, Run: 053, F, 2, 0, 0, 91, 1, 35, 2, 0, 38
INVAR-13, Run: 054, F, 1, 0, 0, 114, 1, 43, 2, 1, 45
INVAR-13, Run: 055, F, 2, 0, 0, 100, 1, 38, 2, 1, 40
INVAR-13, Run: 056, F, 2, 0, 0, 121, 1, 45, 2, 6, 42
INVAR-13, Run: 057, F, 0, 0, 1, 110, 1, 42, 2, 2, 42
INVAR-13, Run: 058, F, 2, 0, 1, 97, 1, 37, 2, 6, 33
INVAR-13, Run: 059, F, 0, 0, 1, 107, 1, 41, 2, 7, 36
INVAR-13, Run: 060, F, 1, 0, 0, 90, 1, 35, 2, 7, 31
INVAR-13, Run: 061, F, 1, 0, 0, 105, 1, 40, 2, 6, 37
INVAR-13, Run: 062, F, 0, 0, 1, 116, 1, 44, 2, 6, 40
INVAR-13, Run: 063, F, 0, 0, 1, 89, 1, 35, 2, 1, 36
INVAR-13, Run: 064, F, 1, 0, 1, 99, 1, 38, 2, 6, 34
INVAR-13, Run: 065, F, 1, 0, 0, 96, 1, 37, 2, 5, 35
INVAR-13, Run: 066, F, 2, 0, 0, 94, 1, 36, 2, 1, 38
INVAR-13, Run: 067, F, 0, 0, 1, 98, 1, 38, 2, 7, 33
INVAR-13, Run: 068, F, 1, 0, 0, 96, 1, 37, 2, 2, 38
INVAR-13, Run: 069, F, 2, 0, 0, 85, 1, 33, 2, 2, 34
INVAR-13, Run: 070, F, 2, 0, 1, 97, 1, 37, 2, 0, 39
