Input Number, Run_Number, Result@ 100, H, X1, M, PO, CE, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 041, P, 0, 0, 0, 0, 94, 94, 0, 0, 1, 600, 0, 12, 200, 674, 4353, 100, 64, 35, 94, 200, 300, 768, 4353
INVAR-10, Run: 042, P, 0, 0, 0, 0, 94, 94, 0, 0, 1, 600, 0, 12, 200, 728, 4541, 100, 57, 42, 94, 200, 300, 822, 4541
INVAR-10, Run: 043, P, 0, 0, 0, 0, 94, 94, 0, 0, 1, 600, 0, 12, 200, 849, 6500, 100, 59, 40, 94, 200, 300, 943, 6500
INVAR-10, Run: 044, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 768, 4783, 100, 59, 40, 89, 200, 300, 857, 4783
INVAR-10, Run: 045, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 643, 5776, 100, 62, 37, 89, 200, 300, 732, 5776
INVAR-10, Run: 046, P, 0, 0, 0, 0, 94, 94, 0, 0, 1, 600, 0, 12, 200, 773, 5259, 100, 67, 32, 94, 200, 300, 867, 5259
INVAR-10, Run: 047, P, 0, 0, 0, 0, 88, 88, 0, 0, 1, 600, 0, 24, 200, 641, 5185, 100, 64, 35, 88, 200, 300, 729, 5185
INVAR-10, Run: 048, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 912, 4129, 100, 62, 37, 90, 200, 300, 1002, 4129
INVAR-10, Run: 049, P, 0, 0, 0, 0, 89, 89, 0, 0, 1, 600, 0, 22, 200, 1099, 6066, 100, 61, 38, 89, 200, 300, 1188, 6066
INVAR-10, Run: 050, P, 0, 0, 0, 0, 93, 93, 0, 0, 1, 600, 0, 14, 200, 709, 3776, 100, 65, 34, 93, 200, 300, 802, 3776
INVAR-10, Run: 051, P, 0, 0, 0, 0, 85, 85, 0, 0, 1, 600, 0, 30, 200, 824, 5520, 100, 59, 40, 85, 200, 300, 909, 5520
INVAR-10, Run: 052, P, 0, 0, 0, 0, 88, 88, 0, 0, 1, 600, 0, 24, 200, 798, 4864, 100, 61, 38, 88, 200, 300, 886, 4864
INVAR-10, Run: 053, P, 0, 0, 0, 0, 86, 86, 0, 0, 1, 600, 0, 28, 200, 666, 5028, 100, 62, 37, 86, 200, 300, 752, 5028
INVAR-10, Run: 054, P, 0, 0, 0, 0, 90, 90, 0, 0, 1, 600, 0, 20, 200, 721, 4628, 100, 59, 40, 90, 200, 300, 811, 4628
INVAR-10, Run: 055, P, 0, 0, 0, 0, 91, 91, 0, 0, 1, 600, 0, 18, 200, 893, 4967, 100, 65, 34, 91, 200, 300, 984, 4967
INVAR-10, Run: 056, P, 0, 0, 0, 0, 92, 92, 0, 0, 1, 600, 0, 16, 200, 864, 6352, 100, 71, 28, 92, 200, 300, 956, 6352
