Input Number, Run_Number, Result@ 100, V, Y, X, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5
INVAR-2, Run: 016, F, 13, 0, 0, 5, 20, 21, 0, 26, 2
INVAR-2, Run: 017, F, 0, 0, 2, 7, 19, 20, 1, 31, 9
INVAR-2, Run: 018, F, 25, 0, 0, 5, 20, 21, 0, 10, 6
INVAR-2, Run: 019, F, 0, 0, 1, 6, 19, 20, 2, 38, 3
INVAR-2, Run: 020, F, 30, 0, 0, 8, 20, 20, 0, 5, 5
INVAR-2, Run: 021, F, 0, 0, 2, 4, 19, 21, 1, 32, 9
INVAR-2, Run: 022, F, 0, 0, 2, 7, 19, 20, 1, 38, 2
INVAR-2, Run: 023, F, 0, 0, 2, 4, 19, 21, 1, 37, 4
INVAR-2, Run: 024, F, 0, 0, 2, 4, 19, 21, 1, 39, 2
INVAR-2, Run: 025, F, 0, 0, 2, 4, 19, 21, 1, 41, 0
INVAR-2, Run: 026, F, 0, 0, 1, 6, 19, 20, 2, 32, 9
INVAR-2, Run: 027, F, 0, 0, 2, 7, 19, 20, 1, 33, 7
INVAR-2, Run: 028, F, 28, 0, 0, 8, 19, 19, 3, 8, 5
INVAR-2, Run: 029, F, 20, 0, 0, 8, 20, 20, 0, 13, 7
INVAR-2, Run: 030, F, 0, 0, 2, 4, 19, 21, 1, 41, 0
INVAR-2, Run: 031, F, 0, 0, 1, 6, 19, 20, 2, 38, 3
INVAR-2, Run: 032, F, 0, 0, 2, 7, 19, 20, 1, 35, 5
INVAR-2, Run: 033, F, 0, 0, 2, 4, 19, 21, 1, 38, 3
INVAR-2, Run: 034, F, 0, 0, 1, 9, 19, 19, 2, 29, 11
INVAR-2, Run: 035, F, 0, 0, 1, 6, 19, 20, 2, 39, 2
INVAR-2, Run: 036, F, 23, 0, 0, 5, 20, 21, 0, 14, 4
INVAR-2, Run: 037, F, 0, 0, 2, 4, 19, 21, 1, 40, 1
INVAR-2, Run: 038, F, 28, 0, 0, 8, 20, 20, 0, 6, 6
INVAR-2, Run: 039, F, 19, 0, 0, 5, 19, 20, 3, 19, 4
INVAR-2, Run: 040, F, 20, 0, 0, 8, 19, 19, 3, 12, 9
INVAR-2, Run: 041, F, 15, 0, 0, 2, 19, 21, 3, 24, 4
INVAR-2, Run: 042, F, 0, 0, 2, 4, 19, 21, 1, 37, 4
INVAR-2, Run: 043, F, 0, 0, 1, 3, 19, 21, 2, 37, 5
INVAR-2, Run: 044, F, 0, 0, 2, 4, 19, 21, 1, 39, 2
INVAR-2, Run: 045, F, 0, 0, 1, 3, 19, 21, 2, 38, 4
INVAR-2, Run: 046, F, 0, 0, 2, 4, 19, 21, 1, 39, 2
INVAR-2, Run: 047, F, 8, 0, 0, 2, 20, 22, 0, 31, 3
INVAR-2, Run: 048, F, 27, 0, 0, 5, 20, 21, 0, 10, 4
INVAR-2, Run: 049, F, 0, 0, 2, 4, 19, 21, 1, 38, 3
INVAR-2, Run: 050, F, 9, 0, 0, 5, 20, 21, 0, 28, 4
INVAR-2, Run: 051, F, 0, 0, 1, 6, 19, 20, 2, 34, 7
INVAR-2, Run: 052, F, 0, 0, 1, 9, 19, 19, 2, 31, 9
INVAR-2, Run: 053, F, 0, 0, 2, 4, 19, 21, 1, 38, 3
INVAR-2, Run: 054, F, 27, 0, 0, 5, 20, 21, 0, 7, 7
INVAR-2, Run: 055, F, 0, 0, 2, 10, 19, 19, 1, 34, 5
INVAR-2, Run: 056, F, 32, 0, 0, 2, 20, 22, 0, 10, 0
INVAR-2, Run: 057, F, 0, 0, 1, 3, 19, 21, 2, 38, 4
INVAR-2, Run: 058, F, 10, 0, 0, 2, 20, 22, 0, 24, 8
INVAR-2, Run: 059, F, 0, 0, 1, 3, 19, 21, 2, 37, 5
INVAR-2, Run: 060, F, 8, 0, 0, 5, 19, 20, 3, 29, 5
INVAR-2, Run: 061, F, 0, 0, 2, 7, 19, 20, 1, 38, 2
INVAR-2, Run: 062, F, 29, 0, 0, 5, 20, 21, 0, 8, 4
INVAR-2, Run: 063, F, 0, 0, 1, 3, 19, 21, 2, 36, 6
INVAR-2, Run: 064, F, 0, 0, 2, 4, 19, 21, 1, 39, 2
INVAR-2, Run: 065, F, 0, 0, 2, 7, 19, 20, 1, 37, 3
INVAR-2, Run: 066, F, 0, 0, 2, 4, 19, 21, 1, 35, 6
INVAR-2, Run: 067, F, 17, 0, 0, 5, 19, 20, 3, 18, 7
INVAR-2, Run: 068, F, 28, 0, 0, 5, 20, 21, 0, 11, 2
INVAR-2, Run: 069, F, 0, 0, 1, 6, 19, 20, 2, 30, 11
INVAR-2, Run: 070, F, 23, 0, 0, 5, 20, 21, 0, 12, 6
INVAR-2, Run: 071, F, 0, 0, 2, 7, 19, 20, 1, 31, 9
INVAR-2, Run: 072, F, 0, 0, 1, 6, 19, 20, 2, 33, 8
INVAR-2, Run: 073, F, 0, 0, 2, 4, 19, 21, 1, 37, 4
INVAR-2, Run: 074, F, 0, 0, 1, 3, 19, 21, 2, 39, 3
INVAR-2, Run: 075, F, 0, 0, 1, 6, 19, 20, 2, 35, 6
INVAR-2, Run: 076, F, 19, 0, 0, 2, 20, 22, 0, 18, 5
INVAR-2, Run: 077, F, 0, 0, 1, 6, 19, 20, 2, 37, 4
INVAR-2, Run: 078, F, 24, 0, 0, 5, 19, 20, 3, 11, 7
INVAR-2, Run: 079, F, 0, 0, 2, 7, 19, 20, 1, 36, 4
INVAR-2, Run: 080, F, 0, 0, 2, 4, 19, 21, 1, 33, 8
INVAR-2, Run: 081, F, 34, 0, 0, 5, 20, 21, 0, 3, 4
INVAR-2, Run: 082, F, 0, 0, 2, 4, 18, 20, 4, 42, 0
INVAR-2, Run: 083, F, 22, 0, 0, 5, 20, 21, 0, 18, 1
INVAR-2, Run: 084, F, 0, 0, 2, 4, 19, 21, 1, 35, 6
