Input Number, Run_Number, Result@ 100, A1, F1, F1P, F2, F2P, Y
12, Run: 078, F, 168, 0, 5, 5, 0, 0
12, Run: 079, F, 169, 0, 5, 5, 0, 0
12, Run: 080, F, 168, 0, 5, 5, 0, 0
12, Run: 081, F, 168, 0, 5, 5, 0, 0
12, Run: 082, F, 168, 0, 5, 5, 0, 0
12, Run: 083, F, 168, 0, 5, 5, 0, 0
12, Run: 084, F, 168, 0, 5, 5, 0, 0
12, Run: 085, F, 168, 0, 5, 5, 0, 0
12, Run: 086, F, 168, 0, 5, 5, 0, 0
12, Run: 087, F, 168, 0, 5, 5, 0, 0
12, Run: 088, F, 168, 0, 5, 5, 0, 0
12, Run: 089, F, 168, 0, 5, 5, 0, 0
12, Run: 090, F, 168, 0, 5, 5, 0, 0
12, Run: 091, F, 168, 0, 5, 5, 0, 0
12, Run: 092, F, 168, 0, 5, 5, 0, 0
12, Run: 093, F, 168, 0, 5, 5, 0, 0
12, Run: 094, F, 168, 0, 5, 5, 0, 0
12, Run: 095, F, 168, 0, 5, 5, 0, 0
12, Run: 096, F, 169, 0, 5, 5, 0, 0
12, Run: 097, F, 168, 0, 5, 5, 0, 0
12, Run: 098, F, 168, 0, 5, 5, 0, 0
12, Run: 099, F, 168, 0, 5, 5, 0, 0
12, Run: 100, F, 168, 0, 5, 5, 0, 0
13, Run: 001, F, 10, 0, 5, 5, 0, 0
13, Run: 002, F, 11, 0, 5, 5, 0, 0
13, Run: 003, F, 10, 0, 5, 5, 0, 0
13, Run: 004, F, 11, 0, 5, 5, 0, 0
13, Run: 005, F, 10, 0, 5, 5, 0, 0
13, Run: 006, F, 11, 0, 5, 5, 0, 0
13, Run: 007, F, 10, 0, 5, 5, 0, 0
13, Run: 008, F, 10, 0, 5, 5, 0, 0
13, Run: 009, F, 10, 0, 5, 5, 0, 0
13, Run: 010, F, 10, 0, 5, 5, 0, 0
13, Run: 011, F, 11, 0, 5, 5, 0, 0
13, Run: 012, F, 10, 0, 5, 5, 0, 0
13, Run: 013, F, 12, 0, 5, 5, 0, 0
13, Run: 014, F, 10, 0, 5, 5, 0, 0
13, Run: 015, F, 10, 0, 5, 5, 0, 0
13, Run: 016, F, 11, 0, 5, 5, 0, 0
13, Run: 017, F, 11, 0, 5, 5, 0, 0
13, Run: 018, F, 10, 0, 5, 5, 0, 0
13, Run: 019, F, 10, 0, 5, 5, 0, 0
13, Run: 020, F, 10, 0, 5, 5, 0, 0
13, Run: 021, F, 12, 0, 5, 5, 0, 0
13, Run: 022, F, 11, 0, 5, 5, 0, 0
13, Run: 023, F, 11, 0, 5, 5, 0, 0
13, Run: 024, F, 11, 0, 5, 5, 0, 0
13, Run: 025, F, 11, 0, 5, 5, 0, 0
13, Run: 026, F, 10, 0, 5, 5, 0, 0
13, Run: 027, F, 11, 0, 5, 5, 0, 0
13, Run: 028, F, 10, 0, 5, 5, 0, 0
13, Run: 029, F, 11, 0, 5, 5, 0, 0
13, Run: 030, F, 13, 0, 5, 5, 0, 0
13, Run: 031, F, 11, 0, 5, 5, 0, 0
13, Run: 032, F, 10, 0, 5, 5, 0, 0
13, Run: 033, F, 12, 0, 5, 5, 0, 0
13, Run: 034, F, 10, 0, 5, 5, 0, 0
13, Run: 035, F, 11, 0, 5, 5, 0, 0
13, Run: 036, F, 10, 0, 5, 5, 0, 0
13, Run: 037, F, 12, 0, 5, 5, 0, 0
13, Run: 038, F, 10, 0, 5, 5, 0, 0
13, Run: 039, F, 12, 0, 5, 5, 0, 0
13, Run: 040, F, 10, 0, 5, 5, 0, 0
13, Run: 041, F, 12, 0, 5, 5, 0, 0
13, Run: 042, F, 11, 0, 5, 5, 0, 0
13, Run: 043, F, 11, 0, 5, 5, 0, 0
13, Run: 044, F, 11, 0, 5, 5, 0, 0
13, Run: 045, F, 12, 0, 5, 5, 0, 0
13, Run: 046, F, 10, 0, 5, 5, 0, 0
13, Run: 047, F, 11, 0, 5, 5, 0, 0
13, Run: 048, F, 11, 0, 5, 5, 0, 0
13, Run: 049, F, 10, 0, 5, 5, 0, 0
13, Run: 050, F, 10, 0, 5, 5, 0, 0
13, Run: 051, F, 12, 0, 5, 5, 0, 0
13, Run: 052, F, 10, 0, 5, 5, 0, 0
13, Run: 053, F, 11, 0, 5, 5, 0, 0
13, Run: 054, F, 10, 0, 5, 5, 0, 0
13, Run: 055, F, 10, 0, 5, 5, 0, 0
13, Run: 056, F, 11, 0, 5, 5, 0, 0
13, Run: 057, F, 11, 0, 5, 5, 0, 0
13, Run: 058, F, 11, 0, 5, 5, 0, 0
13, Run: 059, F, 10, 0, 5, 5, 0, 0
13, Run: 060, F, 11, 0, 5, 5, 0, 0
13, Run: 061, F, 11, 0, 5, 5, 0, 0
13, Run: 062, F, 11, 0, 5, 5, 0, 0
13, Run: 063, F, 10, 0, 5, 5, 0, 0
13, Run: 064, F, 10, 0, 5, 5, 0, 0
13, Run: 065, F, 12, 0, 5, 5, 0, 0
13, Run: 066, F, 10, 0, 5, 5, 0, 0
13, Run: 067, F, 11, 0, 5, 5, 0, 0
13, Run: 068, F, 11, 0, 5, 5, 0, 0
13, Run: 069, F, 10, 0, 5, 5, 0, 0
13, Run: 070, F, 10, 0, 5, 5, 0, 0
13, Run: 071, F, 12, 0, 5, 5, 0, 0
13, Run: 072, F, 10, 0, 5, 5, 0, 0
13, Run: 073, F, 11, 0, 5, 5, 0, 0
13, Run: 074, F, 11, 0, 5, 5, 0, 0
13, Run: 075, F, 11, 0, 5, 5, 0, 0
13, Run: 076, F, 10, 0, 5, 5, 0, 0
13, Run: 077, F, 12, 0, 5, 5, 0, 0
13, Run: 078, F, 10, 0, 5, 5, 0, 0
13, Run: 079, F, 11, 0, 5, 5, 0, 0
13, Run: 080, F, 12, 0, 5, 5, 0, 0
13, Run: 081, F, 10, 0, 5, 5, 0, 0
13, Run: 082, F, 11, 0, 5, 5, 0, 0
13, Run: 083, F, 10, 0, 5, 5, 0, 0
13, Run: 084, F, 10, 0, 5, 5, 0, 0
13, Run: 085, F, 11, 0, 5, 5, 0, 0
13, Run: 086, F, 11, 0, 5, 5, 0, 0
13, Run: 087, F, 10, 0, 5, 5, 0, 0
13, Run: 088, F, 10, 0, 5, 5, 0, 0
13, Run: 089, F, 10, 0, 5, 5, 0, 0
13, Run: 090, F, 10, 0, 5, 5, 0, 0
13, Run: 091, F, 10, 0, 5, 5, 0, 0
