Input Number, Run_Number, Result@ 1000, A, B, H, C, L4, L1, L5, U, Y, T1, T2, T3, T4, T5, T6, R, L2, D, L3
3, Run: 005, P, 0, 1000, 0, 0, 2, 71, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 21, 0, 5
3, Run: 006, P, 0, 0, 0, 1000, 0, 97, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 2
3, Run: 007, P, 0, 1000, 0, 0, 1, 95, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 1
3, Run: 008, P, 1000, 0, 0, 0, 1, 89, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 8, 0, 1
3, Run: 009, P, 1000, 0, 0, 0, 0, 0, 0, 1, 100, 0, 0, 0, 0, 0, 0, 1, 0, 50, 0
3, Run: 010, P, 1000, 0, 0, 0, 0, 90, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 4
3, Run: 011, P, 0, 0, 0, 1000, 0, 99, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 1
3, Run: 012, P, 0, 1000, 0, 0, 0, 0, 0, 1, 100, 1, 2, 0, 0, 1, 0, 1, 0, 46, 0
3, Run: 013, P, 1000, 0, 0, 0, 0, 95, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 0
3, Run: 014, P, 1000, 0, 0, 0, 0, 96, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0
3, Run: 015, P, 0, 1000, 0, 0, 0, 98, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0
3, Run: 016, P, 1000, 0, 0, 0, 0, 85, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 11, 0, 4
3, Run: 017, P, 0, 1000, 0, 0, 4, 66, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 21, 0, 8
3, Run: 018, P, 1000, 0, 0, 0, 0, 0, 0, 1, 100, 2, 0, 1, 0, 0, 1, 1, 0, 46, 0
3, Run: 019, P, 0, 0, 0, 1000, 1, 75, 5, 0, 0, 50, 0, 0, 0, 0, 0, 1, 12, 0, 7
3, Run: 020, P, 0, 1000, 0, 0, 0, 96, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 1
3, Run: 021, P, 0, 1000, 0, 0, 1, 85, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 10, 0, 4
3, Run: 022, P, 0, 0, 0, 1000, 0, 0, 0, 1, 100, 0, 0, 0, 0, 1, 1, 1, 0, 48, 0
3, Run: 023, P, 1000, 0, 0, 0, 1, 78, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 10, 0, 11
3, Run: 024, P, 1000, 0, 0, 0, 0, 0, 0, 1, 100, 0, 0, 1, 1, 0, 0, 1, 0, 48, 0
3, Run: 025, P, 0, 0, 0, 1000, 0, 90, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 7, 0, 3
3, Run: 026, P, 0, 1000, 0, 0, 0, 98, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 1
3, Run: 027, P, 0, 1000, 0, 0, 5, 69, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 18, 0, 6
3, Run: 028, P, 0, 0, 0, 1000, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
3, Run: 029, P, 0, 1000, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
3, Run: 030, P, 0, 0, 0, 1000, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
3, Run: 031, P, 0, 0, 0, 1000, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
3, Run: 032, P, 1000, 0, 0, 0, 3, 62, 4, 0, 1, 28, 8, 7, 4, 2, 0, 1, 26, 1, 4
3, Run: 033, P, 0, 0, 0, 1000, 1, 96, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 0
3, Run: 034, P, 0, 0, 0, 1000, 1, 82, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 11, 0, 6
3, Run: 035, P, 0, 0, 0, 1000, 2, 71, 3, 0, 2, 13, 15, 5, 5, 3, 4, 1, 17, 5, 5
3, Run: 036, P, 0, 1000, 0, 0, 4, 72, 4, 0, 0, 50, 0, 0, 0, 0, 0, 1, 15, 0, 5
3, Run: 037, P, 0, 1000, 0, 0, 0, 98, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 1
3, Run: 038, P, 1000, 0, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
3, Run: 039, P, 1000, 0, 0, 0, 1, 97, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0
3, Run: 040, P, 0, 1000, 0, 0, 0, 0, 0, 1, 100, 1, 0, 0, 0, 1, 0, 1, 0, 48, 0
3, Run: 041, P, 0, 0, 0, 1000, 0, 94, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 4, 0, 2
3, Run: 042, P, 1000, 0, 0, 0, 0, 99, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 1, 0, 0
3, Run: 043, P, 0, 0, 0, 1000, 0, 98, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0
3, Run: 044, P, 0, 1000, 0, 0, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
3, Run: 045, P, 0, 0, 0, 1000, 0, 94, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 3
3, Run: 046, P, 0, 1000, 0, 0, 3, 52, 5, 0, 0, 50, 0, 0, 0, 0, 0, 1, 27, 0, 13
3, Run: 047, P, 1000, 0, 0, 0, 0, 98, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0
3, Run: 048, P, 1000, 0, 0, 0, 0, 72, 2, 0, 1, 27, 11, 6, 5, 1, 0, 1, 22, 0, 3
3, Run: 049, P, 0, 0, 0, 1000, 0, 97, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0
3, Run: 050, P, 0, 0, 0, 1000, 0, 95, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 2, 0, 0
3, Run: 051, P, 0, 0, 0, 1000, 0, 0, 0, 1, 100, 1, 2, 1, 0, 0, 1, 1, 0, 45, 0
3, Run: 052, P, 1000, 0, 0, 0, 4, 81, 3, 0, 0, 50, 0, 0, 0, 0, 0, 1, 7, 0, 5
3, Run: 053, P, 1000, 0, 0, 0, 0, 97, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 3, 0, 0
3, Run: 054, P, 0, 0, 0, 1000, 1, 86, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 13, 0, 0
3, Run: 055, P, 0, 0, 0, 1000, 0, 100, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
3, Run: 056, P, 1000, 0, 0, 0, 0, 0, 0, 1, 100, 0, 0, 0, 0, 0, 0, 1, 0, 50, 0
3, Run: 057, P, 0, 0, 0, 1000, 0, 92, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 4, 0, 3
3, Run: 058, P, 0, 1000, 0, 0, 1, 69, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 24, 0, 6
3, Run: 059, P, 0, 0, 0, 1000, 0, 93, 2, 0, 0, 50, 0, 0, 0, 0, 0, 1, 5, 0, 0
3, Run: 060, P, 0, 1000, 0, 0, 3, 67, 1, 0, 2, 16, 8, 11, 4, 1, 3, 1, 17, 7, 10
3, Run: 061, P, 0, 0, 0, 1000, 0, 93, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 6, 0, 0
3, Run: 062, P, 1000, 0, 0, 0, 0, 99, 0, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 1
3, Run: 063, P, 0, 0, 0, 1000, 0, 99, 1, 0, 0, 50, 0, 0, 0, 0, 0, 1, 0, 0, 0
3, Run: 064, P, 0, 1000, 0, 0, 0, 0, 0, 2, 100, 0, 0, 0, 0, 0, 0, 1, 0, 50, 0
