Input Number, Run_Number, Result@ 100, M, X1, H, PO, CE, Y, D, CO, PE, A, B
3, Run: 042, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 790, 1
3, Run: 043, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 802, 1
3, Run: 044, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 798, 0
3, Run: 045, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 810, 0
3, Run: 046, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 754, 1
3, Run: 047, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 796, 1
3, Run: 048, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 858, 0
3, Run: 049, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 750, 0
3, Run: 050, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 760, 1
3, Run: 051, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 762, 0
3, Run: 052, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 796, 1
3, Run: 053, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 724, 1
3, Run: 054, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 762, 0
3, Run: 055, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 796, 1
3, Run: 056, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 754, 1
3, Run: 057, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 822, 0
3, Run: 058, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 762, 0
3, Run: 059, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 822, 0
3, Run: 060, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 792, 0
3, Run: 061, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 786, 0
3, Run: 062, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 784, 1
3, Run: 063, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 822, 0
3, Run: 064, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 766, 1
3, Run: 065, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 780, 0
3, Run: 066, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 754, 1
3, Run: 067, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 784, 1
3, Run: 068, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 766, 1
3, Run: 069, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 786, 0
3, Run: 070, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 810, 0
3, Run: 071, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 744, 0
3, Run: 072, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 792, 0
3, Run: 073, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 780, 0
3, Run: 074, P, 4, 0, 0, 0, 82, 82, 0, 0, 1, 822, 0
3, Run: 075, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 804, 0
3, Run: 076, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 790, 1
3, Run: 077, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 778, 1
3, Run: 078, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 802, 1
3, Run: 079, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 798, 0
3, Run: 080, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 804, 0
3, Run: 081, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 828, 0
3, Run: 082, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 826, 1
3, Run: 083, P, 3, 0, 0, 0, 82, 82, 0, 0, 1, 798, 0
3, Run: 084, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 766, 1
3, Run: 085, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 796, 1
3, Run: 086, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 798, 0
3, Run: 087, P, 2, 0, 0, 0, 82, 82, 0, 0, 1, 822, 0
3, Run: 088, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 802, 1
3, Run: 089, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 786, 0
3, Run: 090, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 780, 0
3, Run: 091, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 768, 0
3, Run: 092, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 796, 1
3, Run: 093, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 730, 1
3, Run: 094, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 792, 0
3, Run: 095, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 826, 1
3, Run: 096, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 714, 0
3, Run: 097, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 756, 0
3, Run: 098, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 774, 0
3, Run: 099, P, 0, 0, 0, 0, 82, 82, 0, 0, 1, 810, 0
3, Run: 100, P, 1, 0, 0, 0, 82, 82, 0, 0, 1, 808, 1
4, Run: 001, P, 4, 0, 1, 1, 0, 432, 19, 432, 0, 6, 0
4, Run: 002, P, 2, 0, 1, 1, 0, 495, 19, 495, 0, 7, 1
4, Run: 003, P, 0, 0, 1, 1, 0, 422, 19, 422, 0, 8, 1
4, Run: 004, P, 1, 0, 1, 1, 0, 407, 19, 407, 0, 1, 0
4, Run: 005, P, 1, 0, 1, 1, 0, 453, 19, 453, 0, 1, 1
4, Run: 006, P, 0, 0, 1, 1, 0, 399, 19, 399, 0, 7, 1
4, Run: 007, P, 1, 0, 1, 1, 0, 419, 19, 419, 0, 1, 0
4, Run: 008, P, 2, 0, 1, 1, 0, 331, 19, 331, 0, 5, 0
4, Run: 009, P, 2, 0, 1, 1, 0, 419, 19, 419, 0, 5, 1
4, Run: 010, P, 2, 0, 1, 1, 0, 431, 19, 431, 0, 5, 1
4, Run: 011, P, 5, 0, 1, 1, 0, 430, 19, 430, 0, 2, 0
4, Run: 012, P, 0, 0, 1, 1, 0, 442, 19, 442, 0, 0, 1
4, Run: 013, P, 0, 0, 1, 1, 0, 431, 19, 431, 0, 7, 0
4, Run: 014, P, 1, 0, 1, 1, 0, 447, 19, 447, 0, 1, 1
4, Run: 015, P, 0, 0, 1, 1, 0, 436, 19, 436, 0, 6, 1
4, Run: 016, P, 0, 0, 1, 1, 0, 420, 19, 420, 0, 0, 0
4, Run: 017, P, 1, 0, 1, 1, 0, 398, 19, 398, 0, 2, 1
4, Run: 018, P, 0, 0, 1, 1, 0, 406, 19, 406, 0, 2, 0
4, Run: 019, P, 0, 0, 1, 1, 0, 395, 19, 395, 0, 1, 0
4, Run: 020, P, 0, 0, 1, 1, 0, 412, 19, 412, 0, 6, 1
4, Run: 021, P, 5, 0, 1, 1, 0, 407, 19, 407, 0, 1, 0
4, Run: 022, P, 1, 0, 1, 1, 0, 394, 19, 394, 0, 2, 0
4, Run: 023, P, 4, 0, 1, 1, 0, 366, 19, 366, 0, 4, 1
4, Run: 024, P, 0, 0, 1, 1, 0, 441, 19, 441, 0, 7, 1
4, Run: 025, P, 3, 0, 1, 1, 0, 472, 19, 472, 0, 0, 1
4, Run: 026, P, 3, 0, 1, 1, 0, 468, 19, 468, 0, 0, 0
4, Run: 027, P, 3, 0, 1, 1, 0, 382, 19, 382, 0, 0, 1
4, Run: 028, P, 1, 0, 1, 1, 0, 366, 19, 366, 0, 4, 1
4, Run: 029, P, 1, 0, 1, 1, 0, 369, 19, 369, 0, 1, 1
4, Run: 030, P, 0, 0, 1, 1, 0, 437, 19, 437, 0, 7, 0
4, Run: 031, P, 0, 0, 1, 1, 0, 404, 19, 404, 0, 2, 1
4, Run: 032, P, 1, 0, 1, 1, 0, 413, 19, 413, 0, 3, 2
4, Run: 033, P, 0, 0, 1, 1, 0, 431, 19, 431, 0, 1, 0
4, Run: 034, P, 0, 0, 1, 1, 0, 459, 19, 459, 0, 1, 1
4, Run: 035, P, 2, 0, 1, 1, 0, 353, 19, 353, 0, 1, 0
4, Run: 036, P, 0, 0, 1, 1, 0, 373, 19, 373, 0, 3, 1
4, Run: 037, P, 0, 0, 1, 1, 0, 429, 19, 429, 0, 5, 2
4, Run: 038, P, 2, 0, 1, 1, 0, 360, 19, 360, 0, 0, 0
4, Run: 039, P, 1, 0, 1, 1, 0, 431, 19, 431, 0, 1, 0
4, Run: 040, P, 1, 0, 1, 1, 0, 382, 19, 382, 0, 6, 1
4, Run: 041, P, 1, 0, 1, 1, 0, 440, 19, 440, 0, 8, 1
4, Run: 042, P, 2, 0, 1, 1, 0, 441, 19, 441, 0, 3, 0
4, Run: 043, P, 0, 0, 1, 1, 0, 434, 19, 434, 0, 4, 0
4, Run: 044, P, 0, 0, 1, 1, 0, 439, 19, 439, 0, 3, 1
4, Run: 045, P, 1, 0, 1, 1, 0, 376, 19, 376, 0, 6, 1
4, Run: 046, P, 0, 0, 1, 1, 0, 456, 19, 456, 0, 6, 0
4, Run: 047, P, 1, 0, 1, 1, 0, 390, 19, 390, 0, 4, 1
4, Run: 048, P, 1, 0, 1, 1, 0, 408, 19, 408, 0, 6, 0
4, Run: 049, P, 0, 0, 1, 1, 0, 444, 19, 444, 0, 4, 1
4, Run: 050, P, 0, 0, 1, 1, 0, 382, 19, 382, 0, 0, 1
4, Run: 051, P, 0, 0, 1, 1, 0, 368, 19, 368, 0, 2, 1
4, Run: 052, P, 0, 0, 1, 1, 0, 402, 19, 402, 0, 0, 0
4, Run: 053, P, 2, 0, 1, 1, 0, 388, 19, 388, 0, 8, 0
4, Run: 054, P, 0, 0, 1, 1, 0, 402, 19, 402, 0, 0, 0
4, Run: 055, P, 2, 0, 1, 1, 0, 358, 19, 358, 0, 0, 1
4, Run: 056, P, 0, 0, 1, 1, 0, 382, 19, 382, 0, 2, 0
4, Run: 057, P, 0, 0, 1, 1, 0, 380, 19, 380, 0, 2, 1
4, Run: 058, P, 1, 0, 1, 1, 0, 402, 19, 402, 0, 0, 0
4, Run: 059, P, 1, 0, 1, 1, 0, 402, 19, 402, 0, 4, 1
4, Run: 060, P, 0, 0, 1, 1, 0, 398, 19, 398, 0, 4, 0
4, Run: 061, P, 0, 0, 1, 1, 0, 431, 19, 431, 0, 1, 0
4, Run: 062, P, 2, 0, 1, 1, 0, 339, 19, 339, 0, 3, 0
4, Run: 063, P, 0, 0, 1, 1, 0, 365, 19, 365, 0, 1, 0
4, Run: 064, P, 1, 0, 1, 1, 0, 419, 19, 419, 0, 1, 0
4, Run: 065, P, 1, 0, 1, 1, 0, 445, 19, 445, 0, 5, 0
4, Run: 066, P, 4, 0, 1, 1, 0, 451, 19, 451, 0, 3, 1
4, Run: 067, P, 1, 0, 1, 1, 0, 412, 19, 412, 0, 2, 0
