Input Number, Run_Number, Result@ 1000, A, B, H, C, T2, R, L4, L1, L5, Y, T1, T3, T4, T5, T6, U, L2, D, L3, O1, O2, O3, O4, Reaction New, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction19, Reaction2, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction3, Reaction4, Reaction5, Reaction6, Reaction8, Reaction9
INVAR-1, Run: 070, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 56, 32, 77, 3656, 2573, 1862, 1355, 980, 1033, 532, 711, 507, 375, 249, 731, 731, 364, 265, 209, 177, 168, 99
INVAR-1, Run: 071, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 47, 32, 82, 3967, 2670, 1879, 1289, 894, 1247, 428, 791, 590, 395, 251, 643, 643, 316, 261, 214, 182, 112, 55
INVAR-1, Run: 072, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 89, 52, 112, 3436, 2171, 1445, 980, 661, 1215, 696, 726, 465, 319, 209, 452, 452, 487, 353, 264, 212, 209, 134
INVAR-1, Run: 073, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 38, 25, 35, 5528, 4249, 3247, 2524, 1986, 1229, 401, 1002, 723, 538, 407, 1579, 1579, 278, 198, 160, 135, 123, 80
INVAR-1, Run: 074, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 87, 57, 106, 4270, 2890, 2005, 1409, 956, 1330, 677, 885, 596, 453, 266, 690, 690, 473, 350, 263, 206, 204, 123
INVAR-1, Run: 075, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 54, 46, 68, 3968, 2609, 1833, 1266, 897, 1309, 555, 776, 567, 369, 272, 625, 625, 366, 268, 214, 168, 189, 98
INVAR-1, Run: 076, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 10, 1, 2, 10, 50, 51, 30, 44, 4878, 3438, 2464, 1768, 1307, 1390, 390, 974, 696, 461, 360, 947, 947, 290, 225, 174, 144, 100, 65
INVAR-1, Run: 077, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 94, 63, 115, 3626, 2303, 1548, 1039, 705, 1273, 756, 755, 509, 334, 218, 487, 487, 517, 372, 278, 215, 239, 145
INVAR-1, Run: 078, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 42, 32, 46, 4338, 3141, 2297, 1730, 1271, 1147, 526, 844, 567, 459, 308, 963, 963, 315, 220, 178, 146, 211, 95
INVAR-1, Run: 079, P, 0, 10, 0, 0, 0, 51, 0, 0, 0, 100, 0, 0, 0, 0, 0, 6, 0, 0, 0, 9, 0, 1, 9, 50, 55, 48, 109, 3990, 2736, 1934, 1367, 956, 1204, 537, 802, 567, 411, 296, 660, 660, 405, 312, 257, 209, 132, 93
