Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, A, PE, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 025, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10243, 5184, 100, 557, 4726, 100, 200, 300, 10343, 5184
INVAR-10, Run: 026, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10551, 5279, 100, 528, 4850, 100, 200, 300, 10651, 5279
INVAR-10, Run: 027, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 9590, 4908, 100, 524, 4483, 100, 200, 300, 9690, 4908
INVAR-10, Run: 028, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10020, 5042, 100, 532, 4609, 100, 200, 300, 10120, 5042
INVAR-10, Run: 029, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 14454, 6942, 100, 630, 6411, 100, 200, 300, 14554, 6942
INVAR-10, Run: 030, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 9353, 4551, 100, 470, 4180, 100, 200, 300, 9453, 4551
INVAR-10, Run: 031, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 9560, 4625, 100, 520, 4204, 100, 200, 300, 9660, 4625
INVAR-10, Run: 032, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 8833, 4287, 100, 459, 3927, 100, 200, 300, 8933, 4287
INVAR-10, Run: 033, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10388, 4901, 100, 478, 4522, 100, 200, 300, 10488, 4901
INVAR-10, Run: 034, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 10513, 5261, 100, 544, 4816, 100, 200, 300, 10613, 5261
INVAR-10, Run: 035, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 13160, 6450, 100, 633, 5916, 100, 200, 300, 13260, 6450
INVAR-10, Run: 036, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 9481, 4790, 100, 491, 4398, 100, 200, 300, 9581, 4790
INVAR-10, Run: 037, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 9253, 4544, 100, 479, 4164, 100, 200, 300, 9353, 4544
INVAR-10, Run: 038, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 8578, 4142, 100, 428, 3813, 100, 200, 300, 8678, 4142
INVAR-10, Run: 039, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 11824, 5491, 100, 494, 5096, 100, 200, 300, 11924, 5491
INVAR-10, Run: 040, F, 0, 0, 0, 0, 100, 100, 0, 0, 600, 1, 0, 200, 9444, 4696, 100, 520, 4275, 100, 200, 300, 9544, 4696
