Input Number, Run_Number, Result@ 100, PO, E, F, X1, A, B, C, D, CO, Y, PE, CE
4, Run: 090, F, 0, 26, 0, 0, 1, 0, 0, 77, 33, 33, 0, 0
4, Run: 091, F, 0, 28, 0, 0, 1, 0, 0, 60, 48, 48, 0, 0
4, Run: 092, P, 0, 22, 0, 0, 0, 0, 0, 114, 0, 1, 1, 1
4, Run: 093, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 094, P, 0, 26, 0, 0, 0, 0, 0, 110, 0, 1, 1, 1
4, Run: 095, F, 0, 28, 0, 0, 1, 0, 0, 26, 82, 82, 0, 0
4, Run: 096, P, 0, 24, 0, 0, 0, 0, 0, 112, 0, 1, 1, 1
4, Run: 097, F, 0, 28, 0, 0, 1, 0, 0, 10, 98, 98, 0, 0
4, Run: 098, F, 0, 32, 0, 0, 1, 0, 0, 61, 43, 43, 0, 0
4, Run: 099, P, 0, 28, 0, 0, 0, 0, 0, 108, 0, 1, 1, 1
4, Run: 100, F, 0, 22, 0, 0, 1, 0, 0, 53, 61, 61, 0, 0
5, Run: 001, P, 0, 33, 0, 0, 0, 0, 0, 152, 0, 1, 1, 1
5, Run: 002, P, 0, 29, 0, 0, 0, 0, 0, 156, 0, 1, 1, 1
5, Run: 003, P, 0, 33, 0, 0, 0, 0, 0, 152, 0, 1, 1, 1
5, Run: 004, P, 0, 33, 0, 0, 0, 0, 0, 152, 0, 1, 1, 1
5, Run: 005, F, 0, 37, 0, 0, 1, 0, 0, 11, 137, 137, 0, 0
5, Run: 006, F, 0, 39, 0, 0, 1, 0, 0, 26, 120, 120, 0, 0
5, Run: 007, P, 0, 35, 0, 0, 0, 0, 0, 150, 0, 1, 1, 1
5, Run: 008, P, 0, 37, 0, 0, 0, 0, 0, 148, 0, 1, 1, 1
5, Run: 009, F, 0, 37, 0, 0, 1, 0, 0, 6, 142, 142, 0, 0
5, Run: 010, P, 0, 37, 0, 0, 0, 0, 0, 148, 0, 1, 1, 1
5, Run: 011, P, 0, 33, 0, 0, 0, 0, 0, 152, 0, 1, 1, 1
5, Run: 012, P, 0, 33, 0, 0, 0, 0, 0, 152, 0, 1, 1, 1
5, Run: 013, P, 0, 29, 0, 0, 0, 0, 0, 156, 0, 1, 1, 1
5, Run: 014, P, 0, 39, 0, 0, 0, 0, 0, 146, 0, 1, 1, 1
5, Run: 015, P, 0, 39, 0, 0, 0, 0, 0, 146, 0, 1, 1, 1
5, Run: 016, P, 0, 32, 0, 0, 0, 0, 0, 152, 0, 3, 1, 3
5, Run: 017, F, 0, 33, 0, 0, 1, 0, 0, 2, 150, 150, 0, 0
5, Run: 018, P, 0, 30, 0, 0, 0, 0, 0, 154, 0, 3, 1, 3
5, Run: 019, F, 0, 35, 0, 0, 1, 0, 0, 130, 20, 20, 0, 0
5, Run: 020, P, 0, 35, 0, 0, 0, 0, 0, 150, 0, 1, 1, 1
5, Run: 021, P, 0, 36, 0, 0, 0, 0, 0, 148, 0, 3, 1, 3
5, Run: 022, P, 0, 31, 0, 0, 0, 0, 0, 154, 0, 1, 1, 1
5, Run: 023, F, 0, 37, 0, 0, 1, 0, 0, 37, 111, 111, 0, 0
5, Run: 024, F, 0, 37, 0, 0, 1, 0, 0, 78, 70, 70, 0, 0
5, Run: 025, P, 0, 35, 0, 0, 0, 0, 0, 150, 0, 1, 1, 1
5, Run: 026, F, 0, 33, 0, 0, 1, 0, 0, 112, 40, 40, 0, 0
