Input Number, Run_Number, Result@ 100, PO, A, H, X1, M, CE, Y, D, CO, PE, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-5, Run: 057, P, 0, 171, 0, 0, 0, 32, 32, 0, 0, 1, 1, 11, 53, 108, 330, 21, 15, 5, 32, 53, 79, 140, 330
INVAR-5, Run: 058, P, 0, 23, 0, 0, 0, 0, 146, 31, 146, 0, 1, 9, 53, 88, 442, 22, 15, 7, 31, 53, 79, 88, 588
INVAR-5, Run: 059, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 109, 344, 23, 10, 12, 30, 53, 79, 139, 344
INVAR-5, Run: 060, P, 0, 1, 0, 0, 0, 0, 170, 32, 170, 0, 1, 11, 53, 86, 369, 21, 11, 10, 32, 53, 79, 86, 539
INVAR-5, Run: 061, P, 0, 28, 0, 0, 0, 0, 147, 34, 147, 0, 1, 15, 53, 159, 485, 19, 12, 7, 34, 53, 79, 159, 632
INVAR-5, Run: 062, P, 0, 151, 0, 0, 0, 0, 20, 32, 20, 0, 1, 11, 53, 112, 463, 21, 11, 10, 32, 53, 79, 112, 483
INVAR-5, Run: 063, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 106, 457, 23, 13, 9, 30, 53, 79, 136, 457
INVAR-5, Run: 064, P, 0, 173, 0, 0, 0, 33, 33, 0, 0, 1, 1, 13, 53, 65, 408, 20, 15, 4, 33, 53, 79, 98, 408
INVAR-5, Run: 065, P, 0, 24, 0, 0, 0, 0, 143, 30, 143, 0, 1, 7, 53, 106, 694, 23, 19, 4, 30, 53, 79, 106, 837
INVAR-5, Run: 066, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 71, 501, 23, 15, 7, 30, 53, 79, 101, 501
INVAR-5, Run: 067, P, 0, 121, 0, 0, 0, 0, 52, 33, 52, 0, 1, 13, 53, 180, 716, 20, 13, 7, 33, 53, 79, 180, 768
INVAR-5, Run: 068, P, 0, 45, 0, 0, 0, 0, 128, 33, 128, 0, 1, 13, 53, 83, 499, 20, 17, 3, 33, 53, 79, 83, 627
INVAR-5, Run: 069, P, 0, 169, 0, 0, 0, 31, 31, 0, 0, 1, 1, 9, 53, 97, 502, 22, 14, 7, 31, 53, 79, 128, 502
INVAR-5, Run: 070, P, 0, 9, 0, 0, 0, 0, 164, 33, 164, 0, 1, 13, 53, 104, 489, 20, 16, 4, 33, 53, 79, 104, 653
INVAR-5, Run: 071, P, 0, 169, 0, 0, 0, 31, 31, 0, 0, 1, 1, 9, 53, 47, 382, 22, 13, 8, 31, 53, 79, 78, 382
INVAR-5, Run: 072, P, 0, 147, 0, 0, 0, 0, 32, 36, 32, 0, 1, 19, 53, 181, 797, 17, 14, 3, 36, 53, 79, 181, 829
INVAR-5, Run: 073, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 106, 435, 23, 16, 6, 30, 53, 79, 136, 435
INVAR-5, Run: 074, P, 0, 49, 0, 0, 0, 0, 118, 30, 118, 0, 1, 7, 53, 122, 622, 23, 16, 7, 30, 53, 79, 122, 740
INVAR-5, Run: 075, P, 0, 22, 0, 0, 0, 0, 155, 35, 155, 0, 1, 17, 53, 80, 448, 18, 15, 3, 35, 53, 79, 80, 603
INVAR-5, Run: 076, P, 0, 34, 0, 0, 0, 0, 135, 31, 135, 0, 1, 9, 53, 99, 452, 22, 15, 7, 31, 53, 79, 99, 587
INVAR-5, Run: 077, P, 0, 145, 0, 0, 0, 0, 26, 32, 26, 0, 1, 11, 53, 131, 617, 21, 13, 8, 32, 53, 79, 131, 643
INVAR-5, Run: 078, P, 0, 171, 0, 0, 0, 32, 32, 0, 0, 1, 1, 11, 53, 58, 418, 21, 13, 7, 32, 53, 79, 90, 418
INVAR-5, Run: 079, P, 0, 23, 0, 0, 0, 0, 146, 31, 146, 0, 1, 9, 53, 110, 286, 22, 13, 9, 31, 53, 79, 110, 432
INVAR-5, Run: 080, P, 0, 169, 0, 0, 0, 31, 31, 0, 0, 1, 1, 9, 53, 139, 391, 22, 14, 7, 31, 53, 79, 170, 391
INVAR-5, Run: 081, P, 0, 167, 0, 0, 0, 30, 30, 0, 0, 1, 1, 7, 53, 77, 461, 23, 15, 7, 30, 53, 79, 107, 461
INVAR-5, Run: 082, P, 0, 165, 0, 0, 0, 29, 29, 0, 0, 1, 1, 5, 53, 156, 540, 24, 10, 13, 29, 53, 79, 185, 540
INVAR-5, Run: 083, P, 0, 165, 0, 0, 0, 29, 29, 0, 0, 1, 1, 5, 53, 137, 641, 24, 16, 7, 29, 53, 79, 166, 641
INVAR-5, Run: 084, P, 0, 67, 0, 0, 0, 0, 102, 31, 102, 0, 1, 9, 53, 100, 416, 22, 17, 5, 31, 53, 79, 100, 518
INVAR-5, Run: 085, P, 0, 165, 0, 0, 0, 29, 29, 0, 0, 1, 1, 5, 53, 123, 448, 24, 12, 11, 29, 53, 79, 152, 448
INVAR-5, Run: 086, P, 0, 171, 0, 0, 0, 32, 32, 0, 0, 1, 1, 11, 53, 111, 562, 21, 13, 7, 32, 53, 79, 143, 562
INVAR-5, Run: 087, P, 0, 7, 0, 0, 0, 0, 166, 33, 166, 0, 1, 13, 53, 104, 598, 20, 14, 6, 33, 53, 79, 104, 764
INVAR-5, Run: 088, P, 0, 25, 0, 0, 0, 0, 150, 34, 150, 0, 1, 15, 53, 54, 492, 19, 16, 3, 34, 53, 79, 54, 642
