Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B
6, Run: 072, P, 0, 285, 0, 1, 0, 1, 427, 526, 0, 0, 1
6, Run: 073, P, 0, 287, 0, 1, 0, 1, 426, 526, 0, 0, 1
6, Run: 074, P, 0, 265, 0, 1, 0, 1, 437, 526, 0, 0, 1
6, Run: 075, P, 0, 303, 0, 1, 0, 1, 418, 526, 0, 0, 1
6, Run: 076, P, 0, 299, 0, 1, 0, 1, 420, 526, 0, 0, 1
6, Run: 077, P, 0, 303, 0, 1, 0, 1, 418, 526, 0, 0, 1
6, Run: 078, P, 0, 273, 0, 1, 0, 1, 433, 526, 0, 0, 1
6, Run: 079, P, 0, 273, 0, 1, 0, 1, 433, 526, 0, 0, 1
6, Run: 080, P, 0, 335, 0, 1, 0, 1, 402, 526, 0, 0, 1
6, Run: 081, P, 0, 245, 0, 1, 0, 1, 447, 526, 0, 0, 1
6, Run: 082, P, 0, 297, 0, 1, 0, 1, 421, 526, 0, 0, 1
6, Run: 083, P, 0, 315, 0, 1, 0, 1, 412, 526, 0, 0, 1
6, Run: 084, P, 0, 265, 0, 1, 0, 1, 437, 526, 0, 0, 1
6, Run: 085, P, 0, 267, 0, 1, 0, 1, 436, 526, 0, 0, 1
6, Run: 086, P, 0, 307, 0, 1, 0, 1, 416, 526, 0, 0, 1
6, Run: 087, P, 0, 299, 0, 1, 0, 1, 420, 526, 0, 0, 1
6, Run: 088, P, 0, 283, 0, 1, 0, 1, 428, 526, 0, 0, 1
6, Run: 089, P, 0, 291, 0, 1, 0, 1, 424, 526, 0, 0, 1
6, Run: 090, P, 0, 289, 0, 1, 0, 1, 425, 526, 0, 0, 1
6, Run: 091, P, 0, 287, 0, 1, 0, 1, 426, 526, 0, 0, 1
6, Run: 092, P, 0, 327, 0, 1, 0, 1, 406, 526, 0, 0, 1
6, Run: 093, P, 0, 287, 0, 1, 0, 1, 426, 526, 0, 0, 1
6, Run: 094, P, 0, 309, 0, 1, 0, 1, 415, 526, 0, 0, 1
6, Run: 095, P, 0, 303, 0, 1, 0, 1, 418, 526, 0, 0, 1
6, Run: 096, P, 0, 287, 0, 1, 0, 1, 426, 526, 0, 0, 1
6, Run: 097, P, 0, 259, 0, 1, 0, 1, 440, 526, 0, 0, 1
6, Run: 098, P, 0, 257, 0, 1, 0, 1, 441, 526, 0, 0, 1
6, Run: 099, P, 0, 297, 0, 1, 0, 1, 421, 526, 0, 0, 1
6, Run: 100, P, 0, 263, 0, 1, 0, 1, 438, 526, 0, 0, 1
8, Run: 001, P, 245, 2, 0, 0, 0, 0, 134, 0, 1, 150, 0
8, Run: 002, P, 239, 0, 0, 0, 0, 0, 132, 0, 1, 150, 0
8, Run: 003, P, 201, 0, 0, 0, 0, 0, 113, 0, 1, 150, 0
8, Run: 004, P, 230, 1, 0, 0, 0, 0, 127, 0, 1, 150, 0
8, Run: 005, P, 225, 2, 0, 0, 0, 0, 124, 0, 1, 150, 0
8, Run: 006, P, 217, 4, 0, 0, 0, 0, 119, 0, 1, 150, 0
8, Run: 007, P, 255, 0, 0, 0, 0, 0, 140, 0, 1, 150, 0
8, Run: 008, P, 232, 1, 0, 0, 0, 0, 128, 0, 1, 150, 0
8, Run: 009, P, 222, 1, 0, 0, 0, 0, 123, 0, 1, 150, 0
8, Run: 010, P, 249, 0, 0, 0, 0, 0, 137, 0, 1, 150, 0
8, Run: 011, P, 254, 1, 0, 0, 0, 0, 139, 0, 1, 150, 0
8, Run: 012, P, 227, 0, 0, 0, 0, 0, 126, 0, 1, 150, 0
8, Run: 013, P, 223, 2, 0, 0, 0, 0, 123, 0, 1, 150, 0
8, Run: 014, P, 206, 1, 0, 0, 0, 0, 115, 0, 1, 150, 0
8, Run: 015, P, 226, 1, 0, 0, 0, 0, 125, 0, 1, 150, 0
8, Run: 016, P, 215, 2, 0, 0, 0, 0, 119, 0, 1, 150, 0
8, Run: 017, P, 281, 2, 0, 0, 0, 0, 152, 0, 1, 150, 0
8, Run: 018, P, 220, 1, 0, 0, 0, 0, 122, 0, 1, 150, 0
8, Run: 019, P, 229, 2, 0, 0, 0, 0, 126, 0, 1, 150, 0
8, Run: 020, P, 217, 0, 0, 0, 0, 0, 121, 0, 1, 150, 0
8, Run: 021, P, 226, 1, 0, 0, 0, 0, 125, 0, 1, 150, 0
8, Run: 022, P, 212, 1, 0, 0, 0, 0, 118, 0, 1, 150, 0
8, Run: 023, P, 239, 0, 0, 0, 0, 0, 132, 0, 1, 150, 0
8, Run: 024, P, 272, 1, 0, 0, 0, 0, 148, 0, 1, 150, 0
8, Run: 025, P, 210, 1, 0, 0, 0, 0, 117, 0, 1, 150, 0
8, Run: 026, P, 211, 0, 0, 0, 0, 0, 118, 0, 1, 150, 0
8, Run: 027, P, 211, 0, 0, 0, 0, 0, 118, 0, 1, 150, 0
8, Run: 028, P, 200, 1, 0, 0, 0, 0, 112, 0, 1, 150, 0
8, Run: 029, P, 221, 0, 0, 0, 0, 0, 123, 0, 1, 150, 0
8, Run: 030, P, 202, 1, 0, 0, 0, 0, 113, 0, 1, 150, 0
8, Run: 031, P, 199, 2, 0, 0, 0, 0, 111, 0, 1, 150, 0
8, Run: 032, P, 221, 2, 0, 0, 0, 0, 122, 0, 1, 150, 0
8, Run: 033, P, 214, 1, 0, 0, 0, 0, 119, 0, 1, 150, 0
8, Run: 034, P, 195, 0, 0, 0, 0, 0, 110, 0, 1, 150, 0
8, Run: 035, P, 183, 0, 0, 0, 0, 0, 104, 0, 1, 150, 0
8, Run: 036, P, 234, 1, 0, 0, 0, 0, 129, 0, 1, 150, 0
8, Run: 037, P, 227, 2, 0, 0, 0, 0, 125, 0, 1, 150, 0
8, Run: 038, P, 267, 2, 0, 0, 0, 0, 145, 0, 1, 150, 0
8, Run: 039, P, 214, 1, 0, 0, 0, 0, 119, 0, 1, 150, 0
8, Run: 040, P, 230, 1, 0, 0, 0, 0, 127, 0, 1, 150, 0
8, Run: 041, P, 230, 1, 0, 0, 0, 0, 127, 0, 1, 150, 0
8, Run: 042, P, 227, 0, 0, 0, 0, 0, 126, 0, 1, 150, 0
8, Run: 043, P, 253, 0, 0, 0, 0, 0, 139, 0, 1, 150, 0
8, Run: 044, P, 215, 0, 0, 0, 0, 0, 120, 0, 1, 150, 0
8, Run: 045, P, 235, 0, 0, 0, 0, 0, 130, 0, 1, 150, 0
8, Run: 046, P, 215, 0, 0, 0, 0, 0, 120, 0, 1, 150, 0
8, Run: 047, P, 215, 0, 0, 0, 0, 0, 120, 0, 1, 150, 0
8, Run: 048, P, 223, 0, 0, 0, 0, 0, 124, 0, 1, 150, 0
8, Run: 049, P, 232, 1, 0, 0, 0, 0, 128, 0, 1, 150, 0
8, Run: 050, P, 229, 0, 0, 0, 0, 0, 127, 0, 1, 150, 0
8, Run: 051, P, 217, 2, 0, 0, 0, 0, 120, 0, 1, 150, 0
8, Run: 052, P, 183, 0, 0, 0, 0, 0, 104, 0, 1, 150, 0
8, Run: 053, P, 210, 1, 0, 0, 0, 0, 117, 0, 1, 150, 0
8, Run: 054, P, 220, 1, 0, 0, 0, 0, 122, 0, 1, 150, 0
8, Run: 055, P, 208, 1, 0, 0, 0, 0, 116, 0, 1, 150, 0
8, Run: 056, P, 225, 0, 0, 0, 0, 0, 125, 0, 1, 150, 0
8, Run: 057, P, 256, 1, 0, 0, 0, 0, 140, 0, 1, 150, 0
8, Run: 058, P, 225, 2, 0, 0, 0, 0, 124, 0, 1, 150, 0
8, Run: 059, P, 218, 1, 0, 0, 0, 0, 121, 0, 1, 150, 0
8, Run: 060, P, 241, 0, 0, 0, 0, 0, 133, 0, 1, 150, 0
8, Run: 061, P, 217, 2, 0, 0, 0, 0, 120, 0, 1, 150, 0
8, Run: 062, P, 234, 1, 0, 0, 0, 0, 129, 0, 1, 150, 0
8, Run: 063, P, 199, 0, 0, 0, 0, 0, 112, 0, 1, 150, 0
8, Run: 064, P, 241, 0, 0, 0, 0, 0, 133, 0, 1, 150, 0
