Input Number, Run_Number, Result@ 100, X, XP, Z, YP, Reaction1, Reaction2, Reaction3
INVAR-5, Run: 032, E, 0, 0, 92, 22, 70, 92, 70
INVAR-5, Run: 033, E, 0, 0, 102, 32, 70, 102, 70
INVAR-5, Run: 034, E, 0, 0, 93, 23, 70, 93, 70
INVAR-5, Run: 035, E, 0, 0, 117, 47, 70, 117, 70
INVAR-5, Run: 036, E, 0, 0, 96, 26, 70, 96, 70
INVAR-5, Run: 037, E, 0, 0, 87, 17, 70, 87, 70
INVAR-5, Run: 038, E, 0, 0, 99, 29, 70, 99, 70
INVAR-5, Run: 039, E, 0, 0, 114, 44, 70, 114, 70
INVAR-5, Run: 040, E, 0, 0, 92, 22, 70, 92, 70
INVAR-5, Run: 041, E, 0, 0, 109, 39, 70, 109, 70
INVAR-5, Run: 042, E, 0, 0, 110, 40, 70, 110, 70
INVAR-5, Run: 043, E, 0, 0, 112, 42, 70, 112, 70
INVAR-5, Run: 044, E, 0, 0, 108, 38, 70, 108, 70
INVAR-5, Run: 045, E, 0, 0, 82, 12, 70, 82, 70
INVAR-5, Run: 046, E, 0, 0, 97, 27, 70, 97, 70
INVAR-5, Run: 047, E, 0, 0, 101, 31, 70, 101, 70
INVAR-5, Run: 048, E, 0, 0, 116, 46, 70, 116, 70
INVAR-5, Run: 049, E, 0, 0, 94, 24, 70, 94, 70
INVAR-5, Run: 050, E, 0, 0, 113, 43, 70, 113, 70
INVAR-5, Run: 051, E, 0, 0, 102, 32, 70, 102, 70
INVAR-5, Run: 052, E, 0, 0, 100, 30, 70, 100, 70
INVAR-5, Run: 053, E, 0, 0, 103, 33, 70, 103, 70
INVAR-5, Run: 054, E, 0, 0, 98, 28, 70, 98, 70
INVAR-5, Run: 055, E, 0, 0, 100, 30, 70, 100, 70
INVAR-5, Run: 056, E, 0, 0, 100, 30, 70, 100, 70
INVAR-5, Run: 057, E, 0, 0, 120, 50, 70, 120, 70
INVAR-5, Run: 058, E, 0, 0, 100, 30, 70, 100, 70
INVAR-5, Run: 059, E, 0, 0, 86, 16, 70, 86, 70
INVAR-5, Run: 060, E, 0, 0, 97, 27, 70, 97, 70
INVAR-5, Run: 061, E, 0, 0, 99, 29, 70, 99, 70
INVAR-5, Run: 062, E, 0, 0, 100, 30, 70, 100, 70
INVAR-5, Run: 063, E, 0, 0, 101, 31, 70, 101, 70
INVAR-5, Run: 064, E, 0, 0, 115, 45, 70, 115, 70
INVAR-5, Run: 065, E, 0, 0, 97, 27, 70, 97, 70
INVAR-5, Run: 066, E, 0, 0, 94, 24, 70, 94, 70
INVAR-5, Run: 067, E, 0, 0, 107, 37, 70, 107, 70
INVAR-5, Run: 068, E, 0, 0, 107, 37, 70, 107, 70
INVAR-5, Run: 069, E, 0, 0, 95, 25, 70, 95, 70
INVAR-5, Run: 070, E, 0, 0, 97, 27, 70, 97, 70
INVAR-5, Run: 071, E, 0, 0, 102, 32, 70, 102, 70
INVAR-5, Run: 072, E, 0, 0, 122, 52, 70, 122, 70
INVAR-5, Run: 073, E, 0, 0, 108, 38, 70, 108, 70
INVAR-5, Run: 074, E, 0, 0, 101, 31, 70, 101, 70
INVAR-5, Run: 075, E, 0, 0, 94, 24, 70, 94, 70
INVAR-5, Run: 076, E, 0, 0, 92, 22, 70, 92, 70
INVAR-5, Run: 077, E, 0, 0, 120, 50, 70, 120, 70
INVAR-5, Run: 078, E, 0, 0, 90, 20, 70, 90, 70
INVAR-5, Run: 079, E, 0, 0, 104, 34, 70, 104, 70
INVAR-5, Run: 080, E, 0, 0, 101, 31, 70, 101, 70
INVAR-5, Run: 081, E, 0, 0, 110, 40, 70, 110, 70
INVAR-5, Run: 082, E, 0, 0, 115, 45, 70, 115, 70
INVAR-5, Run: 083, E, 0, 0, 101, 31, 70, 101, 70
INVAR-5, Run: 084, E, 0, 0, 113, 43, 70, 113, 70
INVAR-5, Run: 085, E, 0, 0, 115, 45, 70, 115, 70
INVAR-5, Run: 086, E, 0, 0, 107, 37, 70, 107, 70
INVAR-5, Run: 087, E, 0, 0, 114, 44, 70, 114, 70
INVAR-5, Run: 088, E, 0, 0, 108, 38, 70, 108, 70
INVAR-5, Run: 089, E, 0, 0, 80, 10, 70, 80, 70
INVAR-5, Run: 090, E, 0, 0, 111, 41, 70, 111, 70
INVAR-5, Run: 091, E, 0, 0, 96, 26, 70, 96, 70
INVAR-5, Run: 092, E, 0, 0, 78, 8, 70, 78, 70
INVAR-5, Run: 093, E, 0, 0, 102, 32, 70, 102, 70
INVAR-5, Run: 094, E, 0, 0, 97, 27, 70, 97, 70
INVAR-5, Run: 095, E, 0, 0, 82, 12, 70, 82, 70
INVAR-5, Run: 096, E, 0, 0, 97, 27, 70, 97, 70
INVAR-5, Run: 097, E, 0, 0, 100, 30, 70, 100, 70
