Input Number, Run_Number, Result@ 100, X, Y, Z
INVAR-6, Run: 097, F, 117, 0, 169
INVAR-6, Run: 098, F, 125, 0, 169
INVAR-6, Run: 099, F, 135, 0, 169
INVAR-6, Run: 100, F, 128, 0, 169
INVAR-7, Run: 001, F, 112, 0, 0
INVAR-7, Run: 002, F, 108, 0, 0
INVAR-7, Run: 003, F, 114, 0, 0
INVAR-7, Run: 004, F, 121, 0, 0
INVAR-7, Run: 005, F, 116, 0, 0
INVAR-7, Run: 006, F, 110, 0, 0
INVAR-7, Run: 007, F, 108, 0, 0
INVAR-7, Run: 008, F, 114, 0, 0
INVAR-7, Run: 009, F, 109, 0, 0
INVAR-7, Run: 010, F, 117, 0, 0
INVAR-7, Run: 011, F, 129, 0, 0
INVAR-7, Run: 012, F, 120, 0, 0
INVAR-7, Run: 013, F, 107, 0, 0
INVAR-7, Run: 014, F, 110, 0, 0
INVAR-7, Run: 015, F, 92, 0, 0
INVAR-7, Run: 016, F, 112, 0, 0
INVAR-7, Run: 017, F, 117, 0, 0
INVAR-7, Run: 018, F, 100, 0, 0
INVAR-7, Run: 019, F, 140, 0, 0
INVAR-7, Run: 020, F, 97, 0, 0
INVAR-7, Run: 021, F, 95, 0, 0
INVAR-7, Run: 022, F, 107, 0, 0
INVAR-7, Run: 023, F, 120, 0, 0
INVAR-7, Run: 024, F, 109, 0, 0
INVAR-7, Run: 025, F, 125, 0, 0
INVAR-7, Run: 026, F, 126, 0, 0
INVAR-7, Run: 027, F, 114, 0, 0
INVAR-7, Run: 028, F, 118, 0, 0
INVAR-7, Run: 029, F, 103, 0, 0
INVAR-7, Run: 030, F, 112, 0, 0
INVAR-7, Run: 031, F, 142, 0, 0
INVAR-7, Run: 032, F, 111, 0, 0
INVAR-7, Run: 033, F, 89, 0, 0
INVAR-7, Run: 034, F, 118, 0, 0
INVAR-7, Run: 035, F, 123, 0, 0
INVAR-7, Run: 036, F, 127, 0, 0
INVAR-7, Run: 037, F, 113, 0, 0
INVAR-7, Run: 038, F, 128, 0, 0
INVAR-7, Run: 039, F, 128, 0, 0
INVAR-7, Run: 040, F, 111, 0, 0
INVAR-7, Run: 041, F, 111, 0, 0
INVAR-7, Run: 042, F, 120, 0, 0
INVAR-7, Run: 043, F, 125, 0, 0
INVAR-7, Run: 044, F, 113, 0, 0
INVAR-7, Run: 045, F, 117, 0, 0
INVAR-7, Run: 046, F, 114, 0, 0
INVAR-7, Run: 047, F, 102, 0, 0
INVAR-7, Run: 048, F, 117, 0, 0
INVAR-7, Run: 049, F, 109, 0, 0
INVAR-7, Run: 050, F, 105, 0, 0
INVAR-7, Run: 051, F, 120, 0, 0
INVAR-7, Run: 052, F, 121, 0, 0
INVAR-7, Run: 053, F, 112, 0, 0
INVAR-7, Run: 054, F, 111, 0, 0
INVAR-7, Run: 055, F, 98, 0, 0
INVAR-7, Run: 056, F, 109, 0, 0
INVAR-7, Run: 057, F, 118, 0, 0
INVAR-7, Run: 058, F, 121, 0, 0
INVAR-7, Run: 059, F, 103, 0, 0
INVAR-7, Run: 060, F, 130, 0, 0
INVAR-7, Run: 061, F, 118, 0, 0
INVAR-7, Run: 062, F, 100, 0, 0
INVAR-7, Run: 063, F, 109, 0, 0
INVAR-7, Run: 064, F, 106, 0, 0
INVAR-7, Run: 065, F, 119, 0, 0
INVAR-7, Run: 066, F, 111, 0, 0
INVAR-7, Run: 067, F, 121, 0, 0
INVAR-7, Run: 068, F, 120, 0, 0
INVAR-7, Run: 069, F, 121, 0, 0
INVAR-7, Run: 070, F, 89, 0, 0
INVAR-7, Run: 071, F, 144, 0, 0
INVAR-7, Run: 072, F, 122, 0, 0
INVAR-7, Run: 073, F, 101, 0, 0
INVAR-7, Run: 074, F, 106, 0, 0
INVAR-7, Run: 075, F, 127, 0, 0
INVAR-7, Run: 076, F, 101, 0, 0
INVAR-7, Run: 077, F, 128, 0, 0
INVAR-7, Run: 078, F, 121, 0, 0
INVAR-7, Run: 079, F, 112, 0, 0
INVAR-7, Run: 080, F, 101, 0, 0
INVAR-7, Run: 081, F, 112, 0, 0
INVAR-7, Run: 082, F, 103, 0, 0
INVAR-7, Run: 083, F, 89, 0, 0
INVAR-7, Run: 084, F, 107, 0, 0
INVAR-7, Run: 085, F, 111, 0, 0
INVAR-7, Run: 086, F, 112, 0, 0
INVAR-7, Run: 087, F, 106, 0, 0
INVAR-7, Run: 088, F, 100, 0, 0
INVAR-7, Run: 089, F, 117, 0, 0
INVAR-7, Run: 090, F, 117, 0, 0
INVAR-7, Run: 091, F, 96, 0, 0
INVAR-7, Run: 092, F, 123, 0, 0
INVAR-7, Run: 093, F, 120, 0, 0
INVAR-7, Run: 094, F, 118, 0, 0
INVAR-7, Run: 095, F, 93, 0, 0
INVAR-7, Run: 096, F, 110, 0, 0
INVAR-7, Run: 097, F, 111, 0, 0
INVAR-7, Run: 098, F, 122, 0, 0
INVAR-7, Run: 099, F, 115, 0, 0
INVAR-7, Run: 100, F, 135, 0, 0
INVAR-8, Run: 001, F, 187, 0, 0
INVAR-8, Run: 002, F, 193, 0, 0
INVAR-8, Run: 003, F, 180, 0, 0
INVAR-8, Run: 004, F, 200, 0, 0
INVAR-8, Run: 005, F, 185, 0, 0
INVAR-8, Run: 006, F, 188, 0, 0
INVAR-8, Run: 007, F, 191, 0, 0
INVAR-8, Run: 008, F, 181, 0, 0
INVAR-8, Run: 009, F, 177, 0, 0
INVAR-8, Run: 010, F, 203, 0, 0
INVAR-8, Run: 011, F, 185, 0, 0
INVAR-8, Run: 012, F, 181, 0, 0
INVAR-8, Run: 013, F, 186, 0, 0
INVAR-8, Run: 014, F, 177, 0, 0
INVAR-8, Run: 015, F, 191, 0, 0
INVAR-8, Run: 016, F, 198, 0, 0
INVAR-8, Run: 017, F, 182, 0, 0
INVAR-8, Run: 018, F, 203, 0, 0
INVAR-8, Run: 019, F, 210, 0, 0
INVAR-8, Run: 020, F, 187, 0, 0
INVAR-8, Run: 021, F, 216, 0, 0
INVAR-8, Run: 022, F, 180, 0, 0
INVAR-8, Run: 023, F, 197, 0, 0
INVAR-8, Run: 024, F, 197, 0, 0
INVAR-8, Run: 025, F, 206, 0, 0
INVAR-8, Run: 026, F, 188, 0, 0
INVAR-8, Run: 027, F, 192, 0, 0
INVAR-8, Run: 028, F, 189, 0, 0
INVAR-8, Run: 029, F, 201, 0, 0
INVAR-8, Run: 030, F, 179, 0, 0
INVAR-8, Run: 031, F, 191, 0, 0
INVAR-8, Run: 032, F, 196, 0, 0
INVAR-8, Run: 033, F, 181, 0, 0
INVAR-8, Run: 034, F, 203, 0, 0
INVAR-8, Run: 035, F, 183, 0, 0
INVAR-8, Run: 036, F, 211, 0, 0
