Input Number, Run_Number, Result@ 100, X, XP, Z, Y, YP
INVAR-11, Run: 092, P, 0, 58, 10077, 100, 0
INVAR-11, Run: 093, P, 0, 58, 9972, 100, 0
INVAR-11, Run: 094, P, 0, 58, 10153, 100, 0
INVAR-11, Run: 095, P, 0, 58, 10090, 100, 0
INVAR-11, Run: 096, P, 0, 58, 9896, 100, 0
INVAR-11, Run: 097, P, 0, 58, 10102, 100, 0
INVAR-11, Run: 098, P, 0, 58, 10057, 100, 0
INVAR-11, Run: 099, P, 0, 58, 10073, 100, 0
INVAR-11, Run: 100, P, 0, 58, 10174, 100, 0
INVAR-12, Run: 001, P, 0, 130, 20373, 200, 0
INVAR-12, Run: 002, P, 0, 130, 20210, 200, 0
INVAR-12, Run: 003, P, 0, 130, 20137, 200, 0
INVAR-12, Run: 004, P, 0, 130, 20039, 200, 0
INVAR-12, Run: 005, P, 0, 130, 19984, 200, 0
INVAR-12, Run: 006, P, 0, 130, 20341, 200, 0
INVAR-12, Run: 007, P, 0, 130, 20060, 200, 0
INVAR-12, Run: 008, P, 0, 130, 20395, 200, 0
INVAR-12, Run: 009, P, 0, 130, 20149, 200, 0
INVAR-12, Run: 010, P, 0, 130, 20004, 200, 0
INVAR-12, Run: 011, P, 0, 130, 20020, 200, 0
INVAR-12, Run: 012, P, 0, 130, 20108, 200, 0
INVAR-12, Run: 013, P, 0, 130, 20275, 200, 0
INVAR-12, Run: 014, P, 0, 130, 20049, 200, 0
INVAR-12, Run: 015, P, 0, 130, 19899, 200, 0
INVAR-12, Run: 016, P, 0, 130, 20409, 200, 0
INVAR-12, Run: 017, P, 0, 130, 20420, 200, 0
INVAR-12, Run: 018, P, 0, 130, 20204, 200, 0
INVAR-12, Run: 019, P, 0, 130, 20213, 200, 0
INVAR-12, Run: 020, P, 0, 130, 20193, 200, 0
INVAR-12, Run: 021, P, 0, 130, 20054, 200, 0
INVAR-12, Run: 022, P, 0, 130, 20006, 200, 0
INVAR-12, Run: 023, P, 0, 130, 19909, 200, 0
INVAR-12, Run: 024, P, 0, 130, 20357, 200, 0
INVAR-12, Run: 025, P, 0, 130, 20062, 200, 0
INVAR-12, Run: 026, P, 0, 130, 20466, 200, 0
INVAR-12, Run: 027, P, 0, 130, 20202, 200, 0
INVAR-12, Run: 028, P, 0, 130, 20370, 200, 0
INVAR-12, Run: 029, P, 0, 130, 20170, 200, 0
INVAR-12, Run: 030, P, 0, 130, 20232, 200, 0
INVAR-12, Run: 031, P, 0, 130, 19947, 200, 0
INVAR-12, Run: 032, P, 0, 130, 20071, 200, 0
INVAR-12, Run: 033, P, 0, 130, 20330, 200, 0
INVAR-12, Run: 034, P, 0, 130, 20175, 200, 0
INVAR-12, Run: 035, P, 0, 130, 20005, 200, 0
INVAR-12, Run: 036, P, 0, 130, 20023, 200, 0
INVAR-12, Run: 037, P, 0, 130, 20047, 200, 0
INVAR-12, Run: 038, P, 0, 130, 20446, 200, 0
INVAR-12, Run: 039, P, 0, 130, 20137, 200, 0
INVAR-12, Run: 040, P, 0, 130, 20002, 200, 0
INVAR-12, Run: 041, P, 0, 130, 20156, 200, 0
INVAR-12, Run: 042, P, 0, 130, 19913, 200, 0
INVAR-12, Run: 043, P, 0, 130, 20068, 200, 0
INVAR-12, Run: 044, P, 0, 130, 20005, 200, 0
INVAR-12, Run: 045, P, 0, 130, 20112, 200, 0
INVAR-12, Run: 046, P, 0, 130, 19952, 200, 0
INVAR-12, Run: 047, P, 0, 130, 19935, 200, 0
INVAR-12, Run: 048, P, 0, 130, 20095, 200, 0
INVAR-12, Run: 049, P, 0, 130, 20073, 200, 0
INVAR-12, Run: 050, P, 0, 130, 19953, 200, 0
INVAR-12, Run: 051, P, 0, 130, 20422, 200, 0
INVAR-12, Run: 052, P, 0, 130, 19891, 200, 0
INVAR-12, Run: 053, P, 0, 130, 20229, 200, 0
INVAR-12, Run: 054, P, 0, 130, 20210, 200, 0
INVAR-12, Run: 055, P, 0, 130, 20270, 200, 0
INVAR-12, Run: 056, P, 0, 130, 20391, 200, 0
INVAR-12, Run: 057, P, 0, 130, 20062, 200, 0
INVAR-12, Run: 058, P, 0, 130, 20254, 200, 0
INVAR-12, Run: 059, P, 0, 130, 20157, 200, 0
INVAR-12, Run: 060, P, 0, 130, 19953, 200, 0
INVAR-12, Run: 061, P, 0, 130, 19884, 200, 0
INVAR-12, Run: 062, P, 0, 130, 20329, 200, 0
INVAR-12, Run: 063, P, 0, 130, 19999, 200, 0
INVAR-12, Run: 064, P, 0, 130, 20362, 200, 0
INVAR-12, Run: 065, P, 0, 130, 20175, 200, 0
INVAR-12, Run: 066, P, 0, 130, 20273, 200, 0
INVAR-12, Run: 067, P, 0, 130, 20061, 200, 0
INVAR-12, Run: 068, P, 0, 130, 20065, 200, 0
INVAR-12, Run: 069, P, 0, 130, 20084, 200, 0
INVAR-12, Run: 070, P, 0, 130, 20416, 200, 0
INVAR-12, Run: 071, P, 0, 130, 19922, 200, 0
INVAR-12, Run: 072, P, 0, 130, 20193, 200, 0
INVAR-12, Run: 073, P, 0, 130, 20402, 200, 0
INVAR-12, Run: 074, P, 0, 130, 20093, 200, 0
INVAR-12, Run: 075, P, 0, 130, 20268, 200, 0
INVAR-12, Run: 076, P, 0, 130, 20059, 200, 0
INVAR-12, Run: 077, P, 0, 130, 20050, 200, 0
INVAR-12, Run: 078, P, 0, 130, 20018, 200, 0
INVAR-12, Run: 079, P, 0, 130, 20140, 200, 0
INVAR-12, Run: 080, P, 0, 130, 20230, 200, 0
INVAR-12, Run: 081, P, 0, 130, 20091, 200, 0
INVAR-12, Run: 082, P, 0, 130, 20187, 200, 0
INVAR-12, Run: 083, P, 0, 130, 20275, 200, 0
INVAR-12, Run: 084, P, 0, 130, 20314, 200, 0
INVAR-12, Run: 085, P, 0, 130, 20229, 200, 0
INVAR-12, Run: 086, P, 0, 130, 20173, 200, 0
INVAR-12, Run: 087, P, 0, 130, 19983, 200, 0
INVAR-12, Run: 088, P, 0, 130, 20121, 200, 0
INVAR-12, Run: 089, P, 0, 130, 20033, 200, 0
INVAR-12, Run: 090, P, 0, 130, 19982, 200, 0
INVAR-12, Run: 091, P, 0, 130, 20365, 200, 0
INVAR-12, Run: 092, P, 0, 130, 20159, 200, 0
INVAR-12, Run: 093, P, 0, 130, 19947, 200, 0
INVAR-12, Run: 094, P, 0, 130, 20193, 200, 0
INVAR-12, Run: 095, P, 0, 130, 20114, 200, 0
INVAR-12, Run: 096, P, 0, 130, 20166, 200, 0
INVAR-12, Run: 097, P, 0, 130, 19844, 200, 0
INVAR-12, Run: 098, P, 0, 130, 20164, 200, 0
INVAR-12, Run: 099, P, 0, 130, 20260, 200, 0
INVAR-12, Run: 100, P, 0, 130, 20057, 200, 0
INVAR-13, Run: 001, P, 0, 5, 1746, 18, 0
INVAR-13, Run: 002, P, 0, 5, 1866, 18, 0
INVAR-13, Run: 003, P, 0, 5, 1764, 18, 0
INVAR-13, Run: 004, P, 0, 5, 1803, 18, 0
INVAR-13, Run: 005, P, 0, 5, 1829, 18, 0
INVAR-13, Run: 006, P, 0, 5, 1789, 18, 0
INVAR-13, Run: 007, P, 0, 5, 1740, 18, 0
INVAR-13, Run: 008, P, 0, 5, 1792, 18, 0
INVAR-13, Run: 009, P, 0, 5, 1819, 18, 0
INVAR-13, Run: 010, P, 0, 5, 1834, 18, 0
INVAR-13, Run: 011, P, 0, 5, 1849, 18, 0
INVAR-13, Run: 012, P, 0, 5, 1726, 18, 0
INVAR-13, Run: 013, P, 0, 5, 1699, 18, 0
INVAR-13, Run: 014, P, 0, 5, 1794, 18, 0
INVAR-13, Run: 015, P, 0, 5, 1887, 18, 0
INVAR-13, Run: 016, P, 0, 5, 1801, 18, 0
INVAR-13, Run: 017, P, 0, 5, 1797, 18, 0
INVAR-13, Run: 018, P, 0, 5, 1812, 18, 0
INVAR-13, Run: 019, P, 0, 5, 1735, 18, 0
INVAR-13, Run: 020, P, 0, 5, 1762, 18, 0
INVAR-13, Run: 021, P, 0, 5, 1812, 18, 0
INVAR-13, Run: 022, P, 0, 5, 1755, 18, 0
INVAR-13, Run: 023, P, 0, 5, 1822, 18, 0
INVAR-13, Run: 024, P, 0, 5, 1763, 18, 0
INVAR-13, Run: 025, P, 0, 5, 1760, 18, 0
INVAR-13, Run: 026, P, 0, 5, 1763, 18, 0
INVAR-13, Run: 027, P, 0, 5, 1865, 18, 0
INVAR-13, Run: 028, P, 0, 5, 1770, 18, 0
INVAR-13, Run: 029, P, 0, 5, 1832, 18, 0
INVAR-13, Run: 030, P, 0, 5, 1746, 18, 0
INVAR-13, Run: 031, P, 0, 5, 1812, 18, 0
INVAR-13, Run: 032, P, 0, 5, 1824, 18, 0
INVAR-13, Run: 033, P, 0, 5, 1755, 18, 0
INVAR-13, Run: 034, P, 0, 5, 1839, 18, 0
INVAR-13, Run: 035, P, 0, 5, 1801, 18, 0
INVAR-13, Run: 036, P, 0, 5, 1839, 18, 0
INVAR-13, Run: 037, P, 0, 5, 1812, 18, 0
INVAR-13, Run: 038, P, 0, 5, 1793, 18, 0
INVAR-13, Run: 039, P, 0, 5, 1814, 18, 0
INVAR-13, Run: 040, P, 0, 5, 1801, 18, 0
INVAR-13, Run: 041, P, 0, 5, 1851, 18, 0
INVAR-13, Run: 042, P, 0, 5, 1835, 18, 0
INVAR-13, Run: 043, P, 0, 5, 1807, 18, 0
INVAR-13, Run: 044, P, 0, 5, 1918, 18, 0
INVAR-13, Run: 045, P, 0, 5, 1814, 18, 0
