Input Number, Run_Number, Result@ 100, X1, X2, U, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-12, Run: 013, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 014, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 015, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 016, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 017, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 018, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 019, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 020, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 021, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 022, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 023, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 024, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 025, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 026, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 027, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 028, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 029, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 030, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 031, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 032, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 033, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 034, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 035, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 036, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 037, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 038, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 039, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 040, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 041, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 042, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 043, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 044, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 045, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 046, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 047, P, 0, 0, 0, 7, 0, 0, 0, 0
INVAR-12, Run: 048, P, 0, 0, 0, 7, 0, 0, 0, 0
