Input Number, Run_Number, Result@ 100, X, XP, Z, YP
INVAR-11, Run: 032, E, 0, 0, 96, 38
INVAR-11, Run: 033, E, 0, 0, 97, 39
INVAR-11, Run: 034, E, 0, 0, 102, 44
INVAR-11, Run: 035, E, 0, 0, 80, 22
INVAR-11, Run: 036, E, 0, 0, 102, 44
INVAR-11, Run: 037, E, 0, 0, 102, 44
INVAR-11, Run: 038, E, 0, 0, 109, 51
INVAR-11, Run: 039, E, 0, 0, 97, 39
INVAR-11, Run: 040, E, 0, 0, 126, 68
INVAR-11, Run: 041, E, 0, 0, 108, 50
INVAR-11, Run: 042, E, 0, 0, 105, 47
INVAR-11, Run: 043, E, 0, 0, 94, 36
INVAR-11, Run: 044, E, 0, 0, 97, 39
INVAR-11, Run: 045, E, 0, 0, 101, 43
INVAR-11, Run: 046, E, 0, 0, 87, 29
INVAR-11, Run: 047, E, 0, 0, 101, 43
INVAR-11, Run: 048, E, 0, 0, 91, 33
INVAR-11, Run: 049, E, 0, 0, 101, 43
INVAR-11, Run: 050, E, 0, 0, 110, 52
INVAR-11, Run: 051, E, 0, 0, 99, 41
INVAR-11, Run: 052, E, 0, 0, 95, 37
INVAR-11, Run: 053, E, 0, 0, 90, 32
INVAR-11, Run: 054, E, 0, 0, 103, 45
INVAR-11, Run: 055, E, 0, 0, 88, 30
INVAR-11, Run: 056, E, 0, 0, 102, 44
INVAR-11, Run: 057, E, 0, 0, 110, 52
INVAR-11, Run: 058, E, 0, 0, 94, 36
INVAR-11, Run: 059, E, 0, 0, 116, 58
INVAR-11, Run: 060, E, 0, 0, 98, 40
INVAR-11, Run: 061, E, 0, 0, 95, 37
INVAR-11, Run: 062, E, 0, 0, 94, 36
INVAR-11, Run: 063, E, 0, 0, 105, 47
INVAR-11, Run: 064, E, 0, 0, 98, 40
INVAR-11, Run: 065, E, 0, 0, 76, 18
INVAR-11, Run: 066, E, 0, 0, 98, 40
INVAR-11, Run: 067, E, 0, 0, 94, 36
INVAR-11, Run: 068, E, 0, 0, 100, 42
INVAR-11, Run: 069, E, 0, 0, 99, 41
INVAR-11, Run: 070, E, 0, 0, 105, 47
INVAR-11, Run: 071, E, 0, 0, 78, 20
INVAR-11, Run: 072, E, 0, 0, 103, 45
INVAR-11, Run: 073, E, 0, 0, 81, 23
INVAR-11, Run: 074, E, 0, 0, 92, 34
INVAR-11, Run: 075, E, 0, 0, 104, 46
INVAR-11, Run: 076, E, 0, 0, 103, 45
INVAR-11, Run: 077, E, 0, 0, 92, 34
INVAR-11, Run: 078, E, 0, 0, 102, 44
INVAR-11, Run: 079, E, 0, 0, 94, 36
INVAR-11, Run: 080, E, 0, 0, 85, 27
INVAR-11, Run: 081, E, 0, 0, 111, 53
INVAR-11, Run: 082, E, 0, 0, 112, 54
INVAR-11, Run: 083, E, 0, 0, 107, 49
INVAR-11, Run: 084, E, 0, 0, 84, 26
INVAR-11, Run: 085, E, 0, 0, 104, 46
INVAR-11, Run: 086, E, 0, 0, 108, 50
INVAR-11, Run: 087, E, 0, 0, 98, 40
INVAR-11, Run: 088, E, 0, 0, 104, 46
INVAR-11, Run: 089, E, 0, 0, 111, 53
INVAR-11, Run: 090, E, 0, 0, 100, 42
INVAR-11, Run: 091, E, 0, 0, 110, 52
INVAR-11, Run: 092, E, 0, 0, 100, 42
INVAR-11, Run: 093, E, 0, 0, 106, 48
INVAR-11, Run: 094, E, 0, 0, 106, 48
INVAR-11, Run: 095, E, 0, 0, 92, 34
INVAR-11, Run: 096, E, 0, 0, 97, 39
INVAR-11, Run: 097, E, 0, 0, 88, 30
INVAR-11, Run: 098, E, 0, 0, 93, 35
INVAR-11, Run: 099, E, 0, 0, 99, 41
INVAR-11, Run: 100, E, 0, 0, 103, 45
INVAR-12, Run: 001, E, 0, 39, 130, 0
INVAR-12, Run: 002, E, 0, 34, 130, 0
INVAR-12, Run: 003, E, 0, 24, 130, 0
INVAR-12, Run: 004, E, 0, 18, 130, 0
INVAR-12, Run: 005, E, 0, 28, 130, 0
INVAR-12, Run: 006, E, 0, 37, 130, 0
INVAR-12, Run: 007, E, 0, 40, 130, 0
INVAR-12, Run: 008, E, 0, 43, 130, 0
