Input Number, Run_Number, Result@ 100, U, X1, X2, NEW_REACTION, Reaction1, Reaction2, Reaction3, Reaction4
INVAR-11, Run: 064, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 065, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 066, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 067, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 068, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 069, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 070, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 071, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 072, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 073, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 074, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 075, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 076, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 077, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 078, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 079, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 080, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 081, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 082, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 083, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 084, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 085, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 086, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 087, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 088, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 089, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 090, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 091, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 092, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 093, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 094, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 095, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 096, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 097, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 098, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 099, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-11, Run: 100, P, 0, 13, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 001, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 002, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 003, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 004, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 005, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 006, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 007, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 008, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 009, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 010, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 011, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 012, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 013, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 014, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 015, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 016, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 017, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 018, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 019, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 020, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 021, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 022, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 023, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 024, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 025, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 026, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 027, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 028, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 029, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 030, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 031, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 032, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 033, P, 0, 7, 0, 0, 0, 0, 0, 0
INVAR-12, Run: 034, P, 0, 7, 0, 0, 0, 0, 0, 0
