Input Number, Run_Number, Result@ 100, E, X1, F, A, B, C, PO, D, CO, Y, PE, CE
5, Run: 064, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 065, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 066, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 067, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 068, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 069, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 070, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 071, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 072, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 073, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 074, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 075, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 076, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 077, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 078, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 079, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 080, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 081, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 082, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 083, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 084, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 085, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 086, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 087, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 088, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 089, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 090, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 091, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 092, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 093, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 094, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 095, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 096, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 097, F, 1, 0, 1, 0, 0, 0, 0, 92, 0, 0, 1, 0
5, Run: 098, F, 0, 0, 1, 0, 0, 0, 0, 92, 0, 2, 1, 2
5, Run: 099, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
5, Run: 100, F, 2, 0, 1, 1, 0, 0, 1, 0, 96, 96, 0, 0
6, Run: 001, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 002, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 003, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 004, F, 0, 0, 1, 1, 0, 0, 1, 0, 294, 294, 0, 0
6, Run: 005, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 006, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 007, F, 2, 0, 1, 0, 0, 0, 0, 298, 0, 0, 1, 0
6, Run: 008, F, 1, 0, 1, 0, 0, 0, 0, 298, 0, 2, 1, 2
6, Run: 009, F, 3, 0, 1, 1, 0, 0, 1, 0, 302, 302, 0, 0
