Input Number, Run_Number, Result@ 100, CE, D, X1, H, M, PO, Y, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 042, P, 296, 2, 0, 0, 0, 0, 197, 0, 1, 600, 0, 99, 200, 788, 4093, 100, 55, 44, 100, 200, 300, 985, 4093
INVAR-10, Run: 043, P, 270, 2, 0, 0, 0, 0, 184, 0, 1, 600, 0, 86, 200, 843, 4662, 100, 69, 30, 100, 200, 300, 1027, 4662
INVAR-10, Run: 044, P, 309, 1, 0, 0, 0, 0, 204, 0, 1, 600, 0, 105, 200, 852, 4883, 100, 60, 39, 100, 200, 300, 1056, 4883
INVAR-10, Run: 045, P, 327, 1, 0, 0, 0, 0, 213, 0, 1, 600, 0, 114, 200, 804, 4272, 100, 65, 34, 100, 200, 300, 1017, 4272
INVAR-10, Run: 046, P, 278, 0, 0, 0, 0, 0, 189, 0, 1, 600, 0, 89, 200, 940, 5162, 100, 62, 37, 100, 200, 300, 1129, 5162
INVAR-10, Run: 047, P, 335, 1, 0, 0, 0, 0, 217, 0, 1, 600, 0, 118, 200, 1068, 5644, 100, 63, 36, 100, 200, 300, 1285, 5644
INVAR-10, Run: 048, P, 294, 2, 0, 0, 0, 0, 196, 0, 1, 600, 0, 98, 200, 769, 6590, 100, 60, 39, 100, 200, 300, 965, 6590
INVAR-10, Run: 049, P, 310, 2, 0, 0, 0, 0, 204, 0, 1, 600, 0, 106, 200, 979, 4372, 100, 61, 38, 100, 200, 300, 1183, 4372
INVAR-10, Run: 050, P, 306, 0, 0, 0, 0, 0, 203, 0, 1, 600, 0, 103, 200, 894, 3923, 100, 66, 33, 100, 200, 300, 1097, 3923
INVAR-10, Run: 051, P, 293, 1, 0, 0, 0, 0, 196, 0, 1, 600, 0, 97, 200, 949, 4823, 100, 63, 36, 100, 200, 300, 1145, 4823
INVAR-10, Run: 052, P, 286, 0, 0, 0, 0, 0, 193, 0, 1, 600, 0, 93, 200, 1053, 5692, 100, 69, 30, 100, 200, 300, 1246, 5692
INVAR-10, Run: 053, P, 326, 2, 0, 0, 0, 0, 212, 0, 1, 600, 0, 114, 200, 971, 4275, 100, 58, 41, 100, 200, 300, 1183, 4275
INVAR-10, Run: 054, P, 296, 2, 0, 0, 0, 0, 197, 0, 1, 600, 0, 99, 200, 746, 3569, 100, 66, 33, 100, 200, 300, 943, 3569
INVAR-10, Run: 055, P, 295, 1, 0, 0, 0, 0, 197, 0, 1, 600, 0, 98, 200, 724, 5122, 100, 70, 29, 100, 200, 300, 921, 5122
INVAR-10, Run: 056, P, 275, 1, 0, 0, 0, 0, 187, 0, 1, 600, 0, 88, 200, 899, 5038, 100, 65, 34, 100, 200, 300, 1086, 5038
