Input Number, Run_Number, Result@ 100, X, XP, Z, YP
12, Run: 064, E, 0, 35, 130, 0
12, Run: 065, E, 0, 17, 130, 0
12, Run: 066, E, 0, 32, 130, 0
12, Run: 067, E, 0, 38, 130, 0
12, Run: 068, E, 0, 36, 130, 0
12, Run: 069, E, 0, 17, 130, 0
12, Run: 070, E, 0, 35, 130, 0
12, Run: 071, E, 0, 28, 130, 0
12, Run: 072, E, 0, 19, 130, 0
12, Run: 073, E, 0, 44, 130, 0
12, Run: 074, E, 0, 24, 130, 0
12, Run: 075, E, 0, 28, 130, 0
12, Run: 076, E, 0, 24, 130, 0
12, Run: 077, E, 0, 37, 130, 0
12, Run: 078, E, 0, 16, 130, 0
12, Run: 079, E, 0, 32, 130, 0
12, Run: 080, E, 0, 30, 130, 0
12, Run: 081, E, 0, 20, 130, 0
12, Run: 082, E, 0, 13, 130, 0
12, Run: 083, E, 0, 40, 130, 0
12, Run: 084, E, 0, 24, 130, 0
12, Run: 085, E, 0, 30, 130, 0
12, Run: 086, E, 0, 34, 130, 0
12, Run: 087, E, 0, 32, 130, 0
12, Run: 088, E, 0, 26, 130, 0
12, Run: 089, E, 0, 27, 130, 0
12, Run: 090, E, 0, 35, 130, 0
12, Run: 091, E, 0, 15, 130, 0
12, Run: 092, E, 0, 37, 130, 0
