Input Number, Run_Number, Result@ 100, CE, X1, H, M, PO, Y, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 043, P, 0, 0, 1, 0, 1, 1245, 19, 1084, 0, 0, 1, 161, 361, 900, 24224, 180, 101, 79, 180, 361, 541, 1061, 25308
INVAR-10, Run: 044, P, 53, 0, 0, 0, 0, 147, 0, 0, 1, 882, 0, 94, 294, 445, 11922, 147, 104, 42, 147, 294, 441, 592, 11922
INVAR-10, Run: 045, P, 0, 0, 1, 0, 1, 1077, 40, 958, 0, 0, 1, 119, 319, 788, 19720, 159, 99, 60, 159, 319, 478, 907, 20678
INVAR-10, Run: 046, P, 21, 0, 0, 0, 0, 179, 0, 0, 1, 1074, 0, 158, 358, 1036, 32033, 179, 115, 63, 179, 358, 537, 1215, 32033
INVAR-10, Run: 047, P, 0, 0, 1, 0, 1, 1005, 49, 904, 0, 0, 1, 101, 301, 785, 15088, 150, 96, 54, 150, 301, 451, 886, 15992
INVAR-10, Run: 048, P, 29, 0, 0, 0, 0, 171, 0, 0, 1, 1026, 0, 142, 342, 882, 23915, 171, 97, 73, 171, 342, 513, 1053, 23915
INVAR-10, Run: 049, P, 0, 0, 1, 0, 1, 1101, 37, 976, 0, 0, 1, 125, 325, 749, 19490, 162, 98, 64, 162, 325, 487, 874, 20466
INVAR-10, Run: 050, P, 29, 0, 0, 0, 0, 171, 0, 0, 1, 1026, 0, 142, 342, 795, 26699, 171, 113, 57, 171, 342, 513, 966, 26699
INVAR-10, Run: 051, P, 0, 0, 1, 0, 1, 1277, 15, 1108, 0, 0, 1, 169, 369, 893, 37820, 184, 106, 78, 184, 369, 553, 1062, 38928
INVAR-10, Run: 052, P, 0, 0, 1, 0, 1, 1229, 21, 1072, 0, 0, 1, 157, 357, 1092, 30895, 178, 111, 67, 178, 357, 535, 1249, 31967
INVAR-10, Run: 053, P, 0, 0, 1, 0, 1, 957, 55, 868, 0, 0, 1, 89, 289, 515, 11309, 144, 84, 60, 144, 289, 433, 604, 12177
INVAR-10, Run: 054, P, 0, 0, 1, 0, 1, 1013, 48, 910, 0, 0, 1, 103, 303, 713, 16309, 151, 93, 58, 151, 303, 454, 816, 17219
INVAR-10, Run: 055, P, 20, 0, 0, 0, 0, 180, 0, 0, 1, 1080, 0, 160, 360, 734, 26447, 180, 130, 49, 180, 360, 540, 914, 26447
INVAR-10, Run: 056, P, 48, 0, 0, 0, 0, 152, 0, 0, 1, 912, 0, 104, 304, 862, 16494, 152, 104, 47, 152, 304, 456, 1014, 16494
