Input Number, Run_Number, Result@ 100, A, CO, D, X1, H, M, PO, CE, Y, PE, B
INVAR-2, Run: 097, P, 26, 0, 0, 0, 0, 0, 0, 99, 170, 1, 0
INVAR-2, Run: 098, P, 26, 0, 0, 0, 0, 0, 0, 99, 170, 1, 0
INVAR-2, Run: 099, P, 32, 0, 0, 0, 0, 0, 0, 96, 164, 1, 0
INVAR-2, Run: 100, P, 26, 0, 0, 0, 0, 0, 0, 99, 170, 1, 0
INVAR-3, Run: 001, P, 80, 0, 0, 0, 0, 0, 0, 288, 494, 1, 0
INVAR-3, Run: 002, P, 34, 0, 0, 0, 0, 0, 0, 311, 540, 1, 0
INVAR-3, Run: 003, P, 12, 0, 0, 0, 0, 0, 0, 322, 562, 1, 0
INVAR-3, Run: 004, P, 16, 0, 0, 0, 0, 0, 0, 320, 558, 1, 0
INVAR-3, Run: 005, P, 70, 0, 0, 0, 0, 0, 0, 293, 504, 1, 0
INVAR-3, Run: 006, P, 14, 0, 0, 0, 0, 0, 0, 321, 560, 1, 0
INVAR-3, Run: 007, P, 66, 0, 0, 0, 0, 0, 0, 295, 508, 1, 0
INVAR-3, Run: 008, P, 26, 0, 0, 0, 0, 0, 0, 315, 548, 1, 0
INVAR-3, Run: 009, P, 12, 0, 0, 0, 0, 0, 0, 322, 562, 1, 0
INVAR-3, Run: 010, P, 32, 0, 0, 0, 0, 0, 0, 312, 542, 1, 0
INVAR-3, Run: 011, P, 46, 0, 0, 0, 0, 0, 0, 305, 528, 1, 0
INVAR-3, Run: 012, P, 26, 0, 0, 0, 0, 0, 0, 315, 548, 1, 0
INVAR-3, Run: 013, P, 34, 0, 0, 0, 0, 0, 0, 311, 540, 1, 0
INVAR-3, Run: 014, P, 106, 0, 0, 0, 0, 0, 0, 275, 468, 1, 0
INVAR-3, Run: 015, F, 4, 0, 0, 0, 0, 0, 0, 326, 570, 1, 0
INVAR-3, Run: 016, P, 12, 0, 0, 0, 0, 0, 0, 322, 562, 1, 0
INVAR-3, Run: 017, P, 6, 0, 0, 0, 0, 0, 0, 325, 568, 1, 0
INVAR-3, Run: 018, P, 8, 0, 0, 0, 0, 0, 0, 324, 566, 1, 0
INVAR-3, Run: 019, P, 6, 0, 0, 0, 0, 0, 0, 325, 568, 1, 0
INVAR-3, Run: 020, P, 14, 0, 0, 0, 0, 0, 0, 321, 560, 1, 0
INVAR-3, Run: 021, P, 18, 0, 0, 0, 0, 0, 0, 319, 556, 1, 0
INVAR-3, Run: 022, P, 14, 0, 0, 0, 0, 0, 0, 321, 560, 1, 0
INVAR-3, Run: 023, P, 44, 0, 0, 0, 0, 0, 0, 306, 530, 1, 0
INVAR-3, Run: 024, P, 72, 0, 0, 0, 0, 0, 0, 292, 502, 1, 0
INVAR-3, Run: 025, P, 16, 0, 0, 0, 0, 0, 0, 320, 558, 1, 0
INVAR-3, Run: 026, P, 50, 0, 0, 0, 0, 0, 0, 303, 524, 1, 0
INVAR-3, Run: 027, P, 26, 0, 0, 0, 0, 0, 0, 315, 548, 1, 0
INVAR-3, Run: 028, P, 10, 0, 0, 0, 0, 0, 0, 323, 564, 1, 0
INVAR-3, Run: 029, P, 70, 0, 0, 0, 0, 0, 0, 293, 504, 1, 0
INVAR-3, Run: 030, P, 24, 0, 0, 0, 0, 0, 0, 316, 550, 1, 0
INVAR-3, Run: 031, P, 26, 0, 0, 0, 0, 0, 0, 315, 548, 1, 0
INVAR-3, Run: 032, F, 4, 0, 0, 0, 0, 0, 0, 326, 570, 1, 0
INVAR-3, Run: 033, P, 24, 0, 0, 0, 0, 0, 0, 316, 550, 1, 0
INVAR-3, Run: 034, P, 36, 0, 0, 0, 0, 0, 0, 310, 538, 1, 0
INVAR-3, Run: 035, P, 6, 0, 0, 0, 0, 0, 0, 325, 568, 1, 0
INVAR-3, Run: 036, P, 48, 0, 0, 0, 0, 0, 0, 304, 526, 1, 0
INVAR-3, Run: 037, F, 4, 0, 0, 0, 0, 0, 0, 326, 570, 1, 0
INVAR-3, Run: 038, P, 30, 0, 0, 0, 0, 0, 0, 313, 544, 1, 0
INVAR-3, Run: 039, P, 28, 0, 0, 0, 0, 0, 0, 314, 546, 1, 0
INVAR-3, Run: 040, P, 14, 0, 0, 0, 0, 0, 0, 321, 560, 1, 0
INVAR-3, Run: 041, P, 68, 0, 0, 0, 0, 0, 0, 294, 506, 1, 0
INVAR-3, Run: 042, P, 8, 0, 0, 0, 0, 0, 0, 324, 566, 1, 0
INVAR-3, Run: 043, P, 16, 0, 0, 0, 0, 0, 0, 320, 558, 1, 0
INVAR-3, Run: 044, P, 70, 0, 0, 0, 0, 0, 0, 293, 504, 1, 0
INVAR-3, Run: 045, P, 14, 0, 0, 0, 0, 0, 0, 321, 560, 1, 0
