Input Number, Run_Number, Result@ 100, PO, H, PE, X1, M, CE, Y, D, CO, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 045, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 1214, 4430, 89, 71, 39, 111, 200, 300, 1325, 4430
INVAR-10, Run: 046, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 931, 4440, 92, 58, 49, 108, 200, 300, 1039, 4440
INVAR-10, Run: 047, P, 0, 0, 1, 0, 0, 113, 113, 0, 0, 600, 0, 26, 200, 1167, 5209, 87, 64, 48, 113, 200, 300, 1280, 5209
INVAR-10, Run: 048, P, 0, 0, 1, 0, 0, 111, 111, 0, 0, 600, 0, 22, 200, 789, 4173, 89, 65, 45, 111, 200, 300, 900, 4173
INVAR-10, Run: 049, P, 0, 0, 1, 0, 0, 109, 109, 0, 0, 600, 0, 18, 200, 927, 3532, 91, 58, 50, 109, 200, 300, 1036, 3532
INVAR-10, Run: 050, P, 0, 0, 1, 0, 0, 107, 107, 0, 0, 600, 0, 14, 200, 942, 3942, 93, 62, 44, 107, 200, 300, 1049, 3942
INVAR-10, Run: 051, P, 0, 0, 1, 0, 0, 112, 112, 0, 0, 600, 0, 24, 200, 1036, 4379, 88, 70, 41, 112, 200, 300, 1148, 4379
INVAR-10, Run: 052, P, 0, 0, 1, 0, 0, 112, 112, 0, 0, 600, 0, 24, 200, 881, 4794, 88, 58, 53, 112, 200, 300, 993, 4794
INVAR-10, Run: 053, P, 0, 0, 1, 0, 0, 108, 108, 0, 0, 600, 0, 16, 200, 954, 4829, 92, 63, 44, 108, 200, 300, 1062, 4829
INVAR-10, Run: 054, P, 0, 0, 1, 0, 0, 107, 107, 0, 0, 600, 0, 14, 200, 953, 3815, 93, 66, 40, 107, 200, 300, 1060, 3815
INVAR-10, Run: 055, P, 0, 0, 1, 0, 0, 107, 107, 0, 0, 600, 0, 14, 200, 916, 4079, 93, 66, 40, 107, 200, 300, 1023, 4079
