Input Number, Run_Number, Result@ 100, X1, H, M, PO, CE, Y, D, CO, PE, A, B, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-10, Run: 029, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 743, 493, 100, 61, 38, 100, 100, 150, 843, 493
INVAR-10, Run: 030, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 632, 318, 100, 58, 41, 100, 100, 150, 732, 318
INVAR-10, Run: 031, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 678, 278, 100, 67, 32, 100, 100, 150, 778, 278
INVAR-10, Run: 032, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 624, 242, 100, 74, 25, 100, 100, 150, 724, 242
INVAR-10, Run: 033, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 773, 518, 100, 62, 37, 100, 100, 150, 873, 518
INVAR-10, Run: 034, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 841, 558, 100, 55, 44, 100, 100, 150, 941, 558
INVAR-10, Run: 035, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 945, 311, 100, 60, 39, 100, 100, 150, 1045, 311
INVAR-10, Run: 036, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 738, 464, 100, 54, 45, 100, 100, 150, 838, 464
INVAR-10, Run: 037, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 712, 311, 100, 61, 38, 100, 100, 150, 812, 311
INVAR-10, Run: 038, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 560, 268, 100, 65, 34, 100, 100, 150, 660, 268
INVAR-10, Run: 039, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 792, 403, 100, 66, 33, 100, 100, 150, 892, 403
INVAR-10, Run: 040, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 754, 347, 100, 59, 40, 100, 100, 150, 854, 347
INVAR-10, Run: 041, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 827, 475, 100, 64, 35, 100, 100, 150, 927, 475
INVAR-10, Run: 042, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 787, 478, 100, 61, 38, 100, 100, 150, 887, 478
INVAR-10, Run: 043, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 924, 644, 100, 58, 41, 100, 100, 150, 1024, 644
INVAR-10, Run: 044, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 822, 355, 100, 55, 44, 100, 100, 150, 922, 355
INVAR-10, Run: 045, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 517, 400, 100, 59, 40, 100, 100, 150, 617, 400
INVAR-10, Run: 046, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 700, 245, 100, 61, 38, 100, 100, 150, 800, 245
INVAR-10, Run: 047, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 807, 353, 100, 64, 35, 100, 100, 150, 907, 353
INVAR-10, Run: 048, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 560, 256, 100, 64, 35, 100, 100, 150, 660, 256
INVAR-10, Run: 049, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 722, 231, 100, 63, 36, 100, 100, 150, 822, 231
INVAR-10, Run: 050, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 878, 475, 100, 69, 30, 100, 100, 150, 978, 475
INVAR-10, Run: 051, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 811, 501, 100, 62, 37, 100, 100, 150, 911, 501
INVAR-10, Run: 052, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 739, 612, 100, 58, 41, 100, 100, 150, 839, 612
INVAR-10, Run: 053, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 568, 521, 100, 70, 29, 100, 100, 150, 668, 521
INVAR-10, Run: 054, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 681, 351, 100, 57, 42, 100, 100, 150, 781, 351
INVAR-10, Run: 055, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 804, 292, 100, 55, 44, 100, 100, 150, 904, 292
INVAR-10, Run: 056, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 633, 218, 100, 66, 33, 100, 100, 150, 733, 218
INVAR-10, Run: 057, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 622, 479, 100, 62, 37, 100, 100, 150, 722, 479
INVAR-10, Run: 058, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 685, 367, 100, 61, 38, 100, 100, 150, 785, 367
INVAR-10, Run: 059, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 767, 357, 100, 62, 37, 100, 100, 150, 867, 357
INVAR-10, Run: 060, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 682, 295, 100, 65, 34, 100, 100, 150, 782, 295
INVAR-10, Run: 061, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 572, 306, 100, 70, 29, 100, 100, 150, 672, 306
INVAR-10, Run: 062, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 758, 300, 100, 62, 37, 100, 100, 150, 858, 300
INVAR-10, Run: 063, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 650, 302, 100, 62, 37, 100, 100, 150, 750, 302
INVAR-10, Run: 064, P, 0, 0, 200, 0, 0, 100, 0, 0, 1, 300, 0, 200, 740, 292, 100, 56, 43, 100, 100, 150, 840, 292
