Input Number, Run_Number, Result@ 100, X2, Y
In38, Run: 011, E, 50, 0
In38, Run: 012, E, 50, 0
In38, Run: 013, E, 50, 0
In38, Run: 014, E, 50, 0
In38, Run: 015, E, 50, 0
In38, Run: 016, E, 50, 0
In38, Run: 017, E, 50, 0
In38, Run: 018, E, 50, 0
In38, Run: 019, E, 50, 0
In38, Run: 020, E, 50, 0
In38, Run: 021, E, 50, 0
In38, Run: 022, E, 50, 0
In38, Run: 023, E, 50, 0
In38, Run: 024, E, 50, 0
In38, Run: 025, E, 50, 0
In38, Run: 026, E, 50, 0
In38, Run: 027, E, 50, 0
In38, Run: 028, E, 50, 0
In38, Run: 029, E, 50, 0
In38, Run: 030, E, 50, 0
In38, Run: 031, E, 50, 0
In38, Run: 032, E, 50, 0
In38, Run: 033, E, 50, 0
In38, Run: 034, E, 50, 0
In38, Run: 035, E, 50, 0
In38, Run: 036, E, 50, 0
In38, Run: 037, E, 50, 0
In38, Run: 038, E, 50, 0
In38, Run: 039, E, 50, 0
In38, Run: 040, E, 50, 0
In38, Run: 041, E, 50, 0
In38, Run: 042, E, 50, 0
In38, Run: 043, E, 50, 0
In38, Run: 044, E, 50, 0
In38, Run: 045, E, 50, 0
In38, Run: 046, E, 50, 0
In38, Run: 047, E, 50, 0
In38, Run: 048, E, 50, 0
In38, Run: 049, E, 50, 0
In38, Run: 050, E, 50, 0
In38, Run: 051, E, 50, 0
In38, Run: 052, E, 50, 0
In38, Run: 053, E, 50, 0
In38, Run: 054, E, 50, 0
In38, Run: 055, E, 50, 0
In38, Run: 056, E, 50, 0
In38, Run: 057, E, 50, 0
In38, Run: 058, E, 50, 0
In38, Run: 059, E, 50, 0
In38, Run: 060, E, 50, 0
In38, Run: 061, E, 50, 0
In38, Run: 062, E, 50, 0
In38, Run: 063, E, 50, 0
In38, Run: 064, E, 50, 0
In38, Run: 065, E, 50, 0
In38, Run: 066, E, 50, 0
In38, Run: 067, E, 50, 0
In38, Run: 068, E, 50, 0
In38, Run: 069, E, 50, 0
