Input Number, Run_Number, Result@ 100, H, CO, M, X1, PO, CE, Y, D, PE, A, B
2, Run: 038, F, 0, 0, 0, 0, 0, 26, 22, 0, 1, 184, 0
2, Run: 039, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 040, F, 0, 0, 0, 0, 0, 22, 10, 0, 1, 216, 0
2, Run: 041, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 042, F, 0, 0, 0, 0, 0, 21, 7, 0, 1, 224, 0
2, Run: 043, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 044, F, 0, 0, 0, 0, 0, 22, 10, 0, 1, 216, 0
2, Run: 045, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
2, Run: 046, F, 0, 0, 0, 0, 0, 20, 4, 0, 1, 232, 0
2, Run: 047, F, 0, 0, 0, 0, 0, 26, 22, 0, 1, 184, 0
2, Run: 048, F, 0, 0, 0, 0, 0, 26, 22, 0, 1, 184, 0
2, Run: 049, F, 0, 0, 0, 0, 0, 22, 10, 0, 1, 216, 0
2, Run: 050, F, 0, 0, 0, 0, 0, 24, 16, 0, 1, 200, 0
2, Run: 051, F, 0, 0, 0, 0, 0, 24, 16, 0, 1, 200, 0
2, Run: 052, F, 0, 0, 0, 0, 0, 24, 16, 0, 1, 200, 0
2, Run: 053, F, 0, 0, 0, 0, 0, 20, 4, 0, 1, 232, 0
2, Run: 054, F, 0, 0, 0, 0, 0, 24, 16, 0, 1, 200, 0
2, Run: 055, F, 0, 0, 0, 0, 0, 23, 13, 0, 1, 208, 0
