Input Number, Run_Number, Result@ 100, X2, Y, Reaction2
INVAR-25, Run: 018, E, 0, 0, 0
INVAR-25, Run: 019, E, 0, 0, 0
INVAR-25, Run: 020, E, 0, 0, 0
INVAR-25, Run: 021, E, 0, 0, 0
INVAR-25, Run: 022, E, 0, 0, 0
INVAR-25, Run: 023, E, 0, 0, 0
INVAR-25, Run: 024, E, 0, 0, 0
INVAR-25, Run: 025, E, 0, 0, 0
INVAR-25, Run: 026, E, 0, 0, 0
INVAR-25, Run: 027, E, 0, 0, 0
INVAR-25, Run: 028, E, 0, 0, 0
INVAR-25, Run: 029, E, 0, 0, 0
INVAR-25, Run: 030, E, 0, 0, 0
INVAR-25, Run: 031, E, 0, 0, 0
INVAR-25, Run: 032, E, 0, 0, 0
INVAR-25, Run: 033, E, 0, 0, 0
INVAR-25, Run: 034, E, 0, 0, 0
INVAR-25, Run: 035, E, 0, 0, 0
INVAR-25, Run: 036, E, 0, 0, 0
INVAR-25, Run: 037, E, 0, 0, 0
INVAR-25, Run: 038, E, 0, 0, 0
INVAR-25, Run: 039, E, 0, 0, 0
INVAR-25, Run: 040, E, 0, 0, 0
INVAR-25, Run: 041, E, 0, 0, 0
INVAR-25, Run: 042, E, 0, 0, 0
INVAR-25, Run: 043, E, 0, 0, 0
INVAR-25, Run: 044, E, 0, 0, 0
INVAR-25, Run: 045, E, 0, 0, 0
INVAR-25, Run: 046, E, 0, 0, 0
INVAR-25, Run: 047, E, 0, 0, 0
INVAR-25, Run: 048, E, 0, 0, 0
INVAR-25, Run: 049, E, 0, 0, 0
INVAR-25, Run: 050, E, 0, 0, 0
INVAR-25, Run: 051, E, 0, 0, 0
INVAR-25, Run: 052, E, 0, 0, 0
INVAR-25, Run: 053, E, 0, 0, 0
INVAR-25, Run: 054, E, 0, 0, 0
INVAR-25, Run: 055, E, 0, 0, 0
INVAR-25, Run: 056, E, 0, 0, 0
INVAR-25, Run: 057, E, 0, 0, 0
INVAR-25, Run: 058, E, 0, 0, 0
INVAR-25, Run: 059, E, 0, 0, 0
INVAR-25, Run: 060, E, 0, 0, 0
