Input Number, Run_Number, Result@ 100, CO, PE, B, X1, H, M, PO, CE, Y, D, A
INVAR-2, Run: 018, P, 20, 0, 1, 0, 0, 0, 0, 0, 37, 28, 115
INVAR-2, Run: 019, P, 92, 0, 1, 0, 0, 0, 0, 0, 109, 28, 43
INVAR-2, Run: 020, P, 127, 0, 1, 0, 0, 0, 0, 0, 138, 28, 20
INVAR-2, Run: 021, P, 10, 0, 0, 0, 0, 0, 0, 3, 27, 25, 130
INVAR-2, Run: 022, P, 120, 0, 1, 0, 0, 0, 0, 0, 139, 28, 11
INVAR-2, Run: 023, P, 0, 1, 1, 0, 0, 0, 0, 28, 43, 0, 139
INVAR-2, Run: 024, P, 0, 1, 1, 0, 0, 0, 0, 28, 43, 0, 139
INVAR-2, Run: 025, P, 17, 0, 0, 0, 0, 0, 0, 2, 33, 26, 123
INVAR-2, Run: 026, P, 39, 0, 1, 0, 0, 0, 0, 0, 54, 28, 100
INVAR-2, Run: 027, P, 110, 0, 1, 0, 0, 0, 0, 0, 123, 28, 33
INVAR-2, Run: 028, P, 81, 0, 1, 0, 0, 0, 0, 0, 96, 28, 58
INVAR-2, Run: 029, P, 59, 0, 1, 0, 0, 0, 0, 0, 70, 28, 88
INVAR-2, Run: 030, P, 56, 0, 1, 0, 0, 0, 0, 2, 69, 26, 91
INVAR-2, Run: 031, P, 67, 0, 0, 0, 0, 0, 0, 0, 83, 28, 69
INVAR-2, Run: 032, P, 58, 0, 1, 0, 0, 0, 0, 1, 76, 27, 77
INVAR-2, Run: 033, P, 67, 0, 0, 0, 0, 0, 0, 0, 85, 28, 65
INVAR-2, Run: 034, P, 16, 0, 0, 0, 0, 0, 0, 2, 30, 26, 128
INVAR-2, Run: 035, P, 0, 1, 1, 0, 0, 0, 0, 28, 41, 0, 143
INVAR-2, Run: 036, P, 0, 1, 0, 0, 0, 0, 0, 28, 42, 0, 140
INVAR-2, Run: 037, P, 65, 0, 0, 0, 0, 0, 0, 0, 77, 28, 79
INVAR-2, Run: 038, P, 50, 0, 0, 0, 0, 0, 0, 0, 66, 28, 86
INVAR-2, Run: 039, P, 34, 0, 0, 0, 0, 0, 0, 0, 50, 28, 102
INVAR-2, Run: 040, P, 72, 0, 1, 0, 0, 0, 0, 0, 93, 28, 55
INVAR-2, Run: 041, P, 50, 0, 1, 0, 0, 0, 0, 0, 65, 28, 89
INVAR-2, Run: 042, P, 39, 0, 1, 0, 0, 0, 0, 0, 52, 28, 104
INVAR-2, Run: 043, P, 62, 0, 0, 0, 0, 0, 0, 0, 76, 28, 78
INVAR-2, Run: 044, P, 0, 1, 1, 0, 0, 0, 0, 28, 41, 0, 143
INVAR-2, Run: 045, P, 97, 0, 0, 0, 0, 0, 0, 0, 107, 28, 51
INVAR-2, Run: 046, P, 0, 1, 0, 0, 0, 0, 0, 28, 42, 0, 140
INVAR-2, Run: 047, P, 0, 1, 1, 0, 0, 0, 0, 28, 41, 0, 143
INVAR-2, Run: 048, P, 65, 0, 1, 0, 0, 0, 0, 1, 79, 27, 78
INVAR-2, Run: 049, P, 0, 1, 1, 0, 0, 0, 0, 28, 41, 0, 143
INVAR-2, Run: 050, P, 26, 0, 0, 0, 0, 0, 0, 0, 42, 28, 110
INVAR-2, Run: 051, P, 44, 0, 0, 0, 0, 0, 0, 0, 58, 28, 96
INVAR-2, Run: 052, P, 4, 0, 0, 0, 0, 0, 0, 2, 22, 26, 132
INVAR-2, Run: 053, P, 6, 0, 0, 0, 0, 0, 0, 3, 21, 25, 138
INVAR-2, Run: 054, P, 54, 0, 1, 0, 0, 0, 0, 0, 69, 28, 85
INVAR-2, Run: 055, P, 1, 0, 1, 0, 0, 0, 0, 1, 15, 27, 142
INVAR-2, Run: 056, P, 0, 1, 1, 0, 0, 0, 0, 28, 41, 0, 143
INVAR-2, Run: 057, P, 37, 0, 1, 0, 0, 0, 0, 1, 55, 27, 98
INVAR-2, Run: 058, P, 27, 0, 1, 0, 0, 0, 0, 0, 42, 28, 112
INVAR-2, Run: 059, P, 0, 1, 1, 0, 0, 0, 0, 28, 41, 0, 143
INVAR-2, Run: 060, P, 44, 0, 0, 0, 0, 0, 0, 0, 56, 28, 100
INVAR-2, Run: 061, P, 131, 0, 1, 0, 0, 0, 0, 0, 146, 28, 8
INVAR-2, Run: 062, P, 18, 0, 0, 0, 0, 0, 0, 1, 29, 27, 130
INVAR-2, Run: 063, P, 13, 0, 1, 0, 0, 0, 0, 1, 29, 27, 126
INVAR-2, Run: 064, P, 50, 0, 1, 0, 0, 0, 0, 1, 68, 27, 85
INVAR-2, Run: 065, P, 0, 1, 0, 0, 0, 0, 0, 28, 42, 0, 140
INVAR-2, Run: 066, P, 60, 0, 1, 0, 0, 0, 0, 0, 75, 28, 79
INVAR-2, Run: 067, P, 55, 0, 0, 0, 0, 0, 0, 1, 70, 27, 85
INVAR-2, Run: 068, P, 0, 1, 0, 0, 0, 0, 0, 28, 44, 0, 136
INVAR-2, Run: 069, P, 104, 0, 1, 0, 0, 0, 0, 0, 115, 28, 43
INVAR-2, Run: 070, P, 63, 0, 1, 0, 0, 0, 0, 0, 80, 28, 72
INVAR-2, Run: 071, P, 36, 0, 0, 0, 0, 0, 0, 0, 48, 28, 108
INVAR-2, Run: 072, P, 15, 0, 1, 0, 0, 0, 0, 1, 27, 27, 132
