Input Number, Run_Number, Result@ 100, Y, X1, H, M, PO, CE, D, CO, PE, A, B, NEW_REACTION, Reaction1, Reaction10, Reaction11, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9
INVAR-1, Run: 092, F, 0, 0, 0, 0, 0, 9, 0, 3, 1, 51, 0, 12, 18, 18, 56, 9, 4, 4, 9, 18, 27, 27, 59
INVAR-1, Run: 093, F, 0, 0, 0, 0, 0, 9, 0, 2, 1, 52, 0, 11, 18, 11, 60, 9, 5, 3, 9, 18, 27, 20, 62
INVAR-1, Run: 094, F, 0, 0, 0, 0, 0, 9, 0, 38, 1, 16, 0, 47, 18, 22, 54, 9, 5, 3, 9, 18, 27, 31, 92
INVAR-1, Run: 095, F, 0, 0, 0, 0, 0, 9, 0, 21, 1, 33, 0, 30, 18, 12, 59, 9, 6, 2, 9, 18, 27, 21, 80
INVAR-1, Run: 096, F, 0, 0, 0, 0, 0, 9, 0, 15, 1, 39, 0, 24, 18, 10, 64, 9, 5, 3, 9, 18, 27, 19, 79
INVAR-1, Run: 097, F, 0, 0, 0, 0, 0, 9, 0, 8, 1, 46, 0, 17, 18, 14, 54, 9, 4, 4, 9, 18, 27, 23, 62
INVAR-1, Run: 098, F, 0, 0, 0, 0, 0, 9, 0, 16, 1, 38, 0, 25, 18, 16, 62, 9, 5, 3, 9, 18, 27, 25, 78
INVAR-1, Run: 099, F, 0, 0, 0, 0, 0, 9, 0, 1, 1, 53, 0, 10, 18, 11, 43, 9, 6, 2, 9, 18, 27, 20, 44
INVAR-1, Run: 100, F, 0, 0, 0, 0, 0, 9, 0, 10, 1, 44, 0, 19, 18, 7, 102, 9, 6, 2, 9, 18, 27, 16, 112
INVAR-10, Run: 001, F, 0, 0, 0, 0, 0, 100, 0, 119, 1, 481, 0, 219, 200, 902, 5455, 100, 67, 32, 100, 200, 300, 1002, 5574
INVAR-10, Run: 002, F, 0, 0, 0, 0, 0, 100, 0, 287, 1, 313, 0, 387, 200, 845, 4779, 100, 64, 35, 100, 200, 300, 945, 5066
INVAR-10, Run: 003, F, 0, 0, 0, 0, 0, 100, 0, 110, 1, 490, 0, 210, 200, 748, 4445, 100, 62, 37, 100, 200, 300, 848, 4555
